Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,home,game_id
Bruno Fernandes,8.0,pt POR,"FW,AM",29-343,90,2,1,0,2,0,3,33.3,2,0,0,0,0,2,0,0,True,ManchesterUtd_Fulham_20240816
Marcus Rashford,10.0,eng ENG,LW,26-290,90,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,True,ManchesterUtd_Fulham_20240816
Amad Diallo,16.0,ci CIV,RW,22-036,60,1,1,0,1,0,1,100.0,0,0,0,0,2,3,0,0,True,ManchesterUtd_Fulham_20240816
Alejandro Garnacho,17.0,ar ARG,RW,20-046,30,1,1,0,1,0,1,0.0,1,0,0,0,0,1,1,0,True,ManchesterUtd_Fulham_20240816
Mason Mount,7.0,eng ENG,AM,25-219,60,3,1,0,3,0,2,100.0,0,0,0,0,0,3,0,0,True,ManchesterUtd_Fulham_20240816
Joshua Zirkzee,11.0,nl NED,FW,23-086,30,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,ManchesterUtd_Fulham_20240816
Kobbie Mainoo,37.0,eng ENG,DM,19-119,83,3,3,1,1,1,4,75.0,1,0,0,0,5,8,0,0,True,ManchesterUtd_Fulham_20240816
Scott McTominay,39.0,sct SCO,DM,27-252,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
Casemiro,18.0,br BRA,DM,32-175,90,4,2,4,0,0,4,50.0,2,5,1,4,1,5,5,0,True,ManchesterUtd_Fulham_20240816
Diogo Dalot,20.0,pt POR,"LB,RB",25-151,90,2,1,1,1,0,1,100.0,0,1,1,0,1,3,3,0,True,ManchesterUtd_Fulham_20240816
Lisandro Martínez,6.0,ar ARG,"CB,LB",26-211,90,3,2,2,0,1,3,33.3,2,0,0,0,3,6,2,0,True,ManchesterUtd_Fulham_20240816
Harry Maguire,5.0,eng ENG,CB,31-164,80,0,0,0,0,0,0,,0,1,1,0,3,3,6,0,True,ManchesterUtd_Fulham_20240816
Jonny Evans,35.0,nir NIR,CB,36-226,10,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,True,ManchesterUtd_Fulham_20240816
Noussair Mazraoui,3.0,ma MAR,RB,26-276,80,2,2,1,0,1,1,100.0,0,1,0,1,3,5,2,0,True,ManchesterUtd_Fulham_20240816
Matthijs de Ligt,4.0,nl NED,CB,25-004,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
André Onana,24.0,cm CMR,GK,28-136,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,ManchesterUtd_Fulham_20240816
Rodrigo Muniz,9.0,br BRA,FW,23-104,77,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,False,ManchesterUtd_Fulham_20240816
