Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Bruno Fernandes,8.0,pt POR,"FW,AM",29-343,90,43,60,71.7,693,229,0,0.0,0.0,0,4,0,0,6,True,ManchesterUtd_Fulham_20240816
Marcus Rashford,10.0,eng ENG,LW,26-290,90,22,30,73.3,240,92,0,0.7,0.1,1,2,1,0,2,True,ManchesterUtd_Fulham_20240816
Amad Diallo,16.0,ci CIV,RW,22-036,60,28,33,84.8,312,66,0,0.1,0.1,1,1,0,0,1,True,ManchesterUtd_Fulham_20240816
Alejandro Garnacho,17.0,ar ARG,RW,20-046,30,10,11,90.9,132,19,1,0.2,0.1,2,0,1,1,0,True,ManchesterUtd_Fulham_20240816
Mason Mount,7.0,eng ENG,AM,25-219,60,11,15,73.3,106,12,0,0.1,0.0,2,1,0,0,1,True,ManchesterUtd_Fulham_20240816
Joshua Zirkzee,11.0,nl NED,FW,23-086,30,8,9,88.9,75,26,0,0.0,0.0,0,1,0,0,1,True,ManchesterUtd_Fulham_20240816
Kobbie Mainoo,37.0,eng ENG,DM,19-119,83,37,41,90.2,512,94,0,0.0,0.0,0,3,0,0,5,True,ManchesterUtd_Fulham_20240816
Scott McTominay,39.0,sct SCO,DM,27-252,7,4,4,100.0,73,54,0,0.0,0.0,0,1,0,0,0,True,ManchesterUtd_Fulham_20240816
Casemiro,18.0,br BRA,DM,32-175,90,44,57,77.2,702,227,0,1.0,0.5,3,2,3,1,4,True,ManchesterUtd_Fulham_20240816
Diogo Dalot,20.0,pt POR,"LB,RB",25-151,90,49,60,81.7,760,117,0,0.0,0.0,0,1,0,0,3,True,ManchesterUtd_Fulham_20240816
Lisandro Martínez,6.0,ar ARG,"CB,LB",26-211,90,55,62,88.7,979,371,0,0.0,0.0,1,5,1,0,9,True,ManchesterUtd_Fulham_20240816
Harry Maguire,5.0,eng ENG,CB,31-164,80,50,60,83.3,889,299,0,0.0,0.0,0,5,1,0,8,True,ManchesterUtd_Fulham_20240816
Jonny Evans,35.0,nir NIR,CB,36-226,10,4,6,66.7,78,30,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
Noussair Mazraoui,3.0,ma MAR,RB,26-276,80,41,45,91.1,505,215,0,0.0,0.0,0,5,0,0,3,True,ManchesterUtd_Fulham_20240816
Matthijs de Ligt,4.0,nl NED,CB,25-004,10,2,2,100.0,41,20,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
André Onana,24.0,cm CMR,GK,28-136,90,22,29,75.9,503,310,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
Rodrigo Muniz,9.0,br BRA,FW,23-104,77,5,6,83.3,79,13,0,0.1,0.0,2,0,0,0,1,False,ManchesterUtd_Fulham_20240816
Raúl Jiménez,7.0,mx MEX,FW,33-103,13,2,4,50.0,60,1,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Alex Iwobi,17.0,ng NGA,LW,28-105,90,19,29,65.5,249,64,0,0.0,0.1,0,1,3,1,2,False,ManchesterUtd_Fulham_20240816
Adama Traoré,11.0,es ESP,RW,28-204,77,14,21,66.7,155,26,0,0.0,0.0,0,1,0,0,0,False,ManchesterUtd_Fulham_20240816
Harry Wilson,8.0,wls WAL,RW,27-147,13,5,6,83.3,62,13,0,0.0,0.0,0,1,0,0,0,False,ManchesterUtd_Fulham_20240816
Emile Smith Rowe,32.0,eng ENG,AM,24-019,63,20,27,74.1,268,37,0,0.0,0.0,0,3,0,0,1,False,ManchesterUtd_Fulham_20240816
Tom Cairney,10.0,sct SCO,"DM,AM",33-209,27,15,17,88.2,247,69,0,0.0,0.1,1,1,1,0,4,False,ManchesterUtd_Fulham_20240816
Saša Lukić,20.0,rs SRB,DM,28-003,89,40,45,88.9,590,158,0,0.0,0.0,0,2,0,0,4,False,ManchesterUtd_Fulham_20240816
Jay Stansfield,28.0,eng ENG,"AM,DM",21-266,1,0,0,,0,0,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Andreas Pereira,18.0,br BRA,"DM,AM",28-228,89,37,55,67.3,593,275,0,0.3,0.2,6,3,0,0,5,False,ManchesterUtd_Fulham_20240816
Harrison Reed,6.0,eng ENG,DM,29-202,1,1,1,100.0,32,28,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Antonee Robinson,33.0,us USA,LB,27-008,90,32,42,76.2,550,212,0,0.0,0.0,0,2,0,0,2,False,ManchesterUtd_Fulham_20240816
Calvin Bassey,3.0,ng NGA,CB,24-229,90,57,62,91.9,1038,421,0,0.0,0.0,0,4,0,0,5,False,ManchesterUtd_Fulham_20240816
Issa Diop,31.0,fr FRA,CB,27-220,90,28,35,80.0,661,323,0,0.0,0.0,0,2,0,0,2,False,ManchesterUtd_Fulham_20240816
Kenny Tete,2.0,nl NED,RB,28-312,90,24,32,75.0,396,155,0,0.0,0.0,0,0,0,0,2,False,ManchesterUtd_Fulham_20240816
Bernd Leno,1.0,de GER,GK,32-165,90,30,42,71.4,662,348,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Liam Delap,19.0,eng ENG,FW,21-191,73,6,12,50.0,101,51,0,0.2,0.0,2,1,0,0,0,True,IpswichTown_Liverpool_20240817
Ali Al Hamadi,16.0,iq IRQ,FW,22-169,17,1,1,100.0,13,0,0,0.0,0.0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Omari Hutchinson,20.0,eng ENG,"LW,RW",20-292,90,10,20,50.0,150,17,0,0.0,0.0,0,1,1,0,1,True,IpswichTown_Liverpool_20240817
Wes Burns,7.0,wls WAL,RW,29-268,56,9,15,60.0,148,12,0,0.0,0.0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Ben Johnson,18.0,eng ENG,"RB,RW",24-206,34,9,12,75.0,124,73,0,0.0,0.0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Conor Chaplin,10.0,eng ENG,AM,27-183,64,16,23,69.6,263,108,0,0.0,0.0,0,1,1,0,2,True,IpswichTown_Liverpool_20240817
Marcus Harness,11.0,eng ENG,AM,28-175,26,9,14,64.3,81,23,0,0.0,0.0,0,0,2,0,2,True,IpswichTown_Liverpool_20240817
Massimo Luongo,25.0,au AUS,DM,31-327,64,16,19,84.2,260,75,0,0.0,0.0,0,1,0,0,3,True,IpswichTown_Liverpool_20240817
Jack Taylor,14.0,ie IRL,DM,26-055,26,15,19,78.9,293,82,0,0.0,0.0,0,2,0,0,3,True,IpswichTown_Liverpool_20240817
Sam Morsy,5.0,eg EGY,DM,32-342,90,37,47,78.7,602,198,0,0.1,0.1,1,4,0,0,1,True,IpswichTown_Liverpool_20240817
