Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,home,game_id
Bruno Fernandes,8.0,pt POR,"FW,AM",29-343,90,60,51,8,2,0,0,8,1,4,1,2,0,43,1,3,True,ManchesterUtd_Fulham_20240816
Marcus Rashford,10.0,eng ENG,LW,26-290,90,30,30,0,0,0,1,1,0,0,0,0,0,22,0,0,True,ManchesterUtd_Fulham_20240816
Amad Diallo,16.0,ci CIV,RW,22-036,60,33,28,4,0,0,0,2,1,3,2,0,0,28,1,1,True,ManchesterUtd_Fulham_20240816
Alejandro Garnacho,17.0,ar ARG,RW,20-046,30,11,11,0,0,0,0,1,0,0,0,0,0,10,0,0,True,ManchesterUtd_Fulham_20240816
Mason Mount,7.0,eng ENG,AM,25-219,60,15,15,0,0,0,0,0,0,0,0,0,0,11,0,0,True,ManchesterUtd_Fulham_20240816
Joshua Zirkzee,11.0,nl NED,FW,23-086,30,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,True,ManchesterUtd_Fulham_20240816
Kobbie Mainoo,37.0,eng ENG,DM,19-119,83,41,40,1,1,0,0,0,0,0,0,0,0,37,0,0,True,ManchesterUtd_Fulham_20240816
Scott McTominay,39.0,sct SCO,DM,27-252,7,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,True,ManchesterUtd_Fulham_20240816
Casemiro,18.0,br BRA,DM,32-175,90,57,55,1,1,1,0,3,0,0,0,0,0,44,1,2,True,ManchesterUtd_Fulham_20240816
Diogo Dalot,20.0,pt POR,"LB,RB",25-151,90,60,53,7,2,0,0,3,5,0,0,0,0,49,0,1,True,ManchesterUtd_Fulham_20240816
Lisandro Martínez,6.0,ar ARG,"CB,LB",26-211,90,62,59,3,0,0,0,0,1,0,0,0,0,55,0,0,True,ManchesterUtd_Fulham_20240816
Harry Maguire,5.0,eng ENG,CB,31-164,80,60,55,5,2,0,1,0,0,0,0,0,0,50,0,0,True,ManchesterUtd_Fulham_20240816
Jonny Evans,35.0,nir NIR,CB,36-226,10,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,True,ManchesterUtd_Fulham_20240816
Noussair Mazraoui,3.0,ma MAR,RB,26-276,80,45,38,7,0,0,0,0,7,0,0,0,0,41,0,0,True,ManchesterUtd_Fulham_20240816
Matthijs de Ligt,4.0,nl NED,CB,25-004,10,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,True,ManchesterUtd_Fulham_20240816
André Onana,24.0,cm CMR,GK,28-136,90,29,28,1,1,0,0,0,0,0,0,0,0,22,0,0,True,ManchesterUtd_Fulham_20240816
Rodrigo Muniz,9.0,br BRA,FW,23-104,77,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,False,ManchesterUtd_Fulham_20240816
Raúl Jiménez,7.0,mx MEX,FW,33-103,13,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,False,ManchesterUtd_Fulham_20240816
Alex Iwobi,17.0,ng NGA,LW,28-105,90,29,28,0,0,1,0,3,0,0,0,0,0,19,1,2,False,ManchesterUtd_Fulham_20240816
Adama Traoré,11.0,es ESP,RW,28-204,77,21,21,0,0,0,0,1,0,0,0,0,0,14,0,0,False,ManchesterUtd_Fulham_20240816
Harry Wilson,8.0,wls WAL,RW,27-147,13,6,5,1,1,1,0,0,0,0,0,0,0,5,0,0,False,ManchesterUtd_Fulham_20240816
Emile Smith Rowe,32.0,eng ENG,AM,24-019,63,27,27,0,0,0,0,1,0,0,0,0,0,20,0,1,False,ManchesterUtd_Fulham_20240816
Tom Cairney,10.0,sct SCO,"DM,AM",33-209,27,17,17,0,0,0,0,1,0,0,0,0,0,15,0,1,False,ManchesterUtd_Fulham_20240816
Saša Lukić,20.0,rs SRB,DM,28-003,89,45,43,2,2,0,0,0,0,0,0,0,0,40,0,1,False,ManchesterUtd_Fulham_20240816
Jay Stansfield,28.0,eng ENG,"AM,DM",21-266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Andreas Pereira,18.0,br BRA,"DM,AM",28-228,89,55,39,16,5,0,0,12,1,8,6,2,0,37,0,0,False,ManchesterUtd_Fulham_20240816
Harrison Reed,6.0,eng ENG,DM,29-202,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,ManchesterUtd_Fulham_20240816
Antonee Robinson,33.0,us USA,LB,27-008,90,42,33,9,1,0,0,1,8,0,0,0,0,32,0,1,False,ManchesterUtd_Fulham_20240816
Calvin Bassey,3.0,ng NGA,CB,24-229,90,62,58,4,0,0,0,0,0,0,0,0,0,57,0,1,False,ManchesterUtd_Fulham_20240816
Issa Diop,31.0,fr FRA,CB,27-220,90,35,31,4,4,0,0,0,0,0,0,0,0,28,0,1,False,ManchesterUtd_Fulham_20240816
Kenny Tete,2.0,nl NED,RB,28-312,90,32,26,6,0,0,0,2,6,0,0,0,0,24,0,1,False,ManchesterUtd_Fulham_20240816
Bernd Leno,1.0,de GER,GK,32-165,90,42,33,9,3,0,0,0,0,0,0,0,0,30,0,0,False,ManchesterUtd_Fulham_20240816
Liam Delap,19.0,eng ENG,FW,21-191,73,12,12,0,0,0,1,0,0,0,0,0,0,6,0,1,True,IpswichTown_Liverpool_20240817
Ali Al Hamadi,16.0,iq IRQ,FW,22-169,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,True,IpswichTown_Liverpool_20240817
Omari Hutchinson,20.0,eng ENG,"LW,RW",20-292,90,20,18,1,0,0,0,1,0,0,0,0,0,10,1,4,True,IpswichTown_Liverpool_20240817
Wes Burns,7.0,wls WAL,RW,29-268,56,15,14,1,0,0,0,1,1,0,0,0,0,9,0,1,True,IpswichTown_Liverpool_20240817
Ben Johnson,18.0,eng ENG,"RB,RW",24-206,34,12,9,3,0,0,0,0,3,0,0,0,0,9,0,0,True,IpswichTown_Liverpool_20240817
Conor Chaplin,10.0,eng ENG,AM,27-183,64,23,20,3,1,0,0,0,0,0,0,0,0,16,0,1,True,IpswichTown_Liverpool_20240817
Marcus Harness,11.0,eng ENG,AM,28-175,26,14,14,0,0,0,0,0,0,0,0,0,0,9,0,1,True,IpswichTown_Liverpool_20240817
Massimo Luongo,25.0,au AUS,DM,31-327,64,19,18,1,1,0,0,0,0,0,0,0,0,16,0,0,True,IpswichTown_Liverpool_20240817
Jack Taylor,14.0,ie IRL,DM,26-055,26,19,19,0,0,0,0,0,0,0,0,0,0,15,0,2,True,IpswichTown_Liverpool_20240817
Sam Morsy,5.0,eg EGY,DM,32-342,90,47,43,3,3,0,0,1,0,0,0,0,0,37,1,2,True,IpswichTown_Liverpool_20240817
Leif Davis,3.0,eng ENG,LB,24-218,90,41,27,13,5,0,0,5,6,2,0,1,0,29,1,1,True,IpswichTown_Liverpool_20240817
Jacob Greaves,24.0,eng ENG,CB,23-340,90,30,30,0,0,0,0,0,0,0,0,0,0,25,0,0,True,IpswichTown_Liverpool_20240817
Luke Woolfenden,6.0,eng ENG,CB,25-301,90,55,49,4,3,0,0,0,1,0,0,0,0,48,2,0,True,IpswichTown_Liverpool_20240817
Axel Tuanzebe,40.0,cd COD,RB,26-277,73,27,23,4,1,0,1,0,3,0,0,0,0,23,0,0,True,IpswichTown_Liverpool_20240817
Sammie Szmodics,23.0,ie IRL,LW,28-328,17,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,True,IpswichTown_Liverpool_20240817
Christian Walton,28.0,eng ENG,GK,28-282,90,42,32,10,4,0,0,0,0,0,0,0,0,33,0,0,True,IpswichTown_Liverpool_20240817
Diogo Jota,20.0,pt POR,FW,27-257,78,15,15,0,0,0,1,1,0,0,0,0,0,9,0,2,False,IpswichTown_Liverpool_20240817
Cody Gakpo,18.0,nl NED,FW,25-102,12,10,10,0,0,0,0,3,0,0,0,0,0,7,0,0,False,IpswichTown_Liverpool_20240817
Luis Díaz,7.0,co COL,LW,27-217,90,36,34,2,0,0,0,0,2,0,0,0,0,31,0,0,False,IpswichTown_Liverpool_20240817
Mohamed Salah,11.0,eg EGY,RW,32-063,90,34,34,0,0,0,0,1,0,0,0,0,0,25,0,1,False,IpswichTown_Liverpool_20240817
Dominik Szoboszlai,8.0,hu HUN,AM,23-297,90,50,46,4,0,2,1,2,2,1,1,0,0,44,0,0,False,IpswichTown_Liverpool_20240817
Alexis Mac Allister,10.0,ar ARG,DM,25-237,90,50,49,1,1,1,1,1,0,0,0,0,0,42,0,2,False,IpswichTown_Liverpool_20240817
Ryan Gravenberch,38.0,nl NED,DM,22-093,90,59,59,0,0,2,0,0,0,0,0,0,0,51,0,1,False,IpswichTown_Liverpool_20240817
Andrew Robertson,26.0,sct SCO,LB,30-159,78,79,58,21,3,0,0,11,12,6,5,0,0,61,0,2,False,IpswichTown_Liverpool_20240817
Kostas Tsimikas,21.0,gr GRE,LB,28-097,12,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0,False,IpswichTown_Liverpool_20240817
Virgil van Dijk,4.0,nl NED,CB,33-040,90,86,82,4,1,0,1,0,1,0,0,0,0,81,0,0,False,IpswichTown_Liverpool_20240817
Jarell Quansah,78.0,eng ENG,CB,21-201,45,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0,False,IpswichTown_Liverpool_20240817
Ibrahima Konaté,5.0,fr FRA,CB,25-084,45,30,28,2,2,0,0,0,0,0,0,0,0,28,0,0,False,IpswichTown_Liverpool_20240817
Trent Alexander-Arnold,66.0,eng ENG,RB,25-315,76,54,44,10,3,1,0,4,4,3,2,1,0,38,0,1,False,IpswichTown_Liverpool_20240817
Conor Bradley,84.0,nir NIR,RB,21-039,14,25,20,5,2,0,0,0,3,0,0,0,0,22,0,0,False,IpswichTown_Liverpool_20240817
Alisson,1.0,br BRA,GK,31-320,90,51,48,3,1,0,0,0,0,0,0,0,0,44,0,0,False,IpswichTown_Liverpool_20240817
Alexander Isak,14.0,se SWE,FW,24-331,90,10,9,1,0,0,0,0,0,0,0,0,0,8,0,1,True,NewcastleUtd_Southampton_20240817
Anthony Gordon,10.0,eng ENG,LW,23-175,69,18,14,4,1,0,0,3,1,2,2,0,0,11,0,1,True,NewcastleUtd_Southampton_20240817
Harvey Barnes,11.0,eng ENG,LW,26-252,21,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,True,NewcastleUtd_Southampton_20240817
Jacob Murphy,23.0,eng ENG,RW,29-175,29,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,True,NewcastleUtd_Southampton_20240817
Emil Krafth,17.0,se SWE,CB,30-015,61,3,2,1,1,0,0,0,0,0,0,0,0,2,0,0,True,NewcastleUtd_Southampton_20240817
Joelinton,7.0,br BRA,LM,28-003,90,17,16,0,0,0,0,0,0,0,0,0,0,10,1,0,True,NewcastleUtd_Southampton_20240817
Bruno Guimarães,39.0,br BRA,CM,26-275,90,28,21,7,7,0,0,3,0,0,0,0,0,18,0,0,True,NewcastleUtd_Southampton_20240817
Sean Longstaff,36.0,eng ENG,RM,26-292,90,15,15,0,0,0,0,0,0,0,0,0,0,11,0,2,True,NewcastleUtd_Southampton_20240817
Lewis Hall,20.0,eng ENG,LB,19-344,69,30,22,8,2,0,0,5,5,1,1,0,0,17,0,1,True,NewcastleUtd_Southampton_20240817
Lloyd Kelly,25.0,eng ENG,LB,25-316,21,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,True,NewcastleUtd_Southampton_20240817
Dan Burn,33.0,eng ENG,CB,32-100,90,18,17,1,1,0,1,0,0,0,0,0,0,13,0,0,True,NewcastleUtd_Southampton_20240817
Fabian Schär,5.0,ch SUI,CB,32-241,27,11,10,1,1,0,0,0,0,0,0,0,0,9,0,0,True,NewcastleUtd_Southampton_20240817
Valentino Livramento,21.0,eng ENG,RB,21-279,90,20,14,6,1,0,0,1,5,0,0,0,0,11,0,1,True,NewcastleUtd_Southampton_20240817
Nick Pope,22.0,eng ENG,GK,32-120,90,26,13,13,3,0,0,0,0,0,0,0,0,10,0,0,True,NewcastleUtd_Southampton_20240817
Ben Brereton,17.0,cl CHI,FW,25-121,69,26,26,0,0,0,0,1,0,0,0,0,0,20,0,1,False,NewcastleUtd_Southampton_20240817
Cameron Archer,19.0,eng ENG,FW,23-027,21,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0,False,NewcastleUtd_Southampton_20240817
Adam Armstrong,9.0,eng ENG,FW,27-189,90,25,23,2,0,0,1,1,1,0,0,0,0,20,0,3,False,NewcastleUtd_Southampton_20240817
Joe Aribo,7.0,ng NGA,CM,28-027,69,40,39,0,0,0,0,2,0,0,0,0,0,33,1,2,False,NewcastleUtd_Southampton_20240817
Tyler Dibling,33.0,eng ENG,CM,18-158,21,15,13,2,1,0,0,1,1,0,0,0,0,14,0,0,False,NewcastleUtd_Southampton_20240817
Flynn Downes,4.0,eng ENG,"CM,CB",25-210,90,90,86,4,4,0,0,1,0,0,0,0,0,83,0,1,False,NewcastleUtd_Southampton_20240817
William Smallbone,8.0,ie IRL,CM,24-178,90,63,47,15,3,0,0,12,2,9,5,2,0,45,1,2,False,NewcastleUtd_Southampton_20240817
Kyle Walker-Peters,2.0,eng ENG,WB,27-126,80,75,68,7,1,1,0,4,5,1,0,0,0,65,0,2,False,NewcastleUtd_Southampton_20240817
Carlos Alcaraz,22.0,ar ARG,CM,21-261,10,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0,False,NewcastleUtd_Southampton_20240817
Yukinari Sugawara,16.0,jp JPN,WB,24-050,45,35,29,6,0,0,1,3,6,0,0,0,0,22,0,4,False,NewcastleUtd_Southampton_20240817
Samuel Edozie,23.0,eng ENG,WB,21-202,45,23,23,0,0,0,0,1,0,0,0,0,0,20,0,2,False,NewcastleUtd_Southampton_20240817
Jack Stephens,5.0,eng ENG,CB,30-203,90,91,89,2,1,0,0,0,1,0,0,0,0,85,0,0,False,NewcastleUtd_Southampton_20240817
Jan Bednarek,35.0,pl POL,CB,28-127,80,82,81,1,0,0,0,0,0,0,0,0,0,77,0,0,False,NewcastleUtd_Southampton_20240817
Samuel Amo-Ameyaw,27.0,eng ENG,WB,18-030,10,5,4,1,0,0,0,1,0,1,0,0,0,5,0,0,False,NewcastleUtd_Southampton_20240817
Taylor Harwood-Bellis,6.0,eng ENG,CB,22-200,90,93,89,4,3,0,0,1,1,0,0,0,0,82,0,0,False,NewcastleUtd_Southampton_20240817
Alex McCarthy,1.0,eng ENG,GK,34-258,90,22,18,4,2,0,1,0,0,0,0,0,0,18,0,0,False,NewcastleUtd_Southampton_20240817
Dominic Calvert-Lewin,9.0,eng ENG,FW,27-154,75,14,14,0,0,0,1,0,0,0,0,0,0,12,0,0,True,Everton_Brighton_20240817
Beto,14.0,gw GNB,FW,26-199,15,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,True,Everton_Brighton_20240817
Dwight McNeil,7.0,eng ENG,"LW,RB,RW",24-269,90,32,28,4,1,0,2,5,2,1,0,1,0,24,0,0,True,Everton_Brighton_20240817
Jack Harrison,11.0,eng ENG,RW,27-271,84,26,24,1,0,0,0,4,1,0,0,0,0,17,1,1,True,Everton_Brighton_20240817
Mason Holgate,4.0,jm JAM,"RW,RB",27-300,6,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,True,Everton_Brighton_20240817
Abdoulaye Doucouré,16.0,ml MLI,AM,31-229,62,19,17,2,0,0,0,2,0,0,0,0,0,12,0,0,True,Everton_Brighton_20240817
Iliman Ndiaye,10.0,sn SEN,"LW,AM",24-164,28,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,True,Everton_Brighton_20240817
Idrissa Gana Gueye,27.0,sn SEN,DM,34-326,90,35,33,2,1,0,0,0,0,0,0,0,0,29,0,0,True,Everton_Brighton_20240817
Tim Iroegbunam,42.0,eng ENG,DM,21-048,90,29,28,0,0,0,0,0,0,0,0,0,0,17,1,1,True,Everton_Brighton_20240817
Vitaliy Mykolenko,19.0,ua UKR,LB,25-080,90,42,30,11,1,0,0,3,10,0,0,0,0,33,1,0,True,Everton_Brighton_20240817
Michael Keane,5.0,eng ENG,CB,31-219,90,53,51,0,0,0,5,0,0,0,0,0,0,44,2,2,True,Everton_Brighton_20240817
James Tarkowski,6.0,eng ENG,CB,31-272,90,54,51,2,2,0,0,0,0,0,0,0,0,45,1,0,True,Everton_Brighton_20240817
Ashley Young,18.0,eng ENG,RB,39-039,65,38,25,12,0,0,0,3,12,0,0,0,0,26,1,3,True,Everton_Brighton_20240817
Jordan Pickford,1.0,eng ENG,GK,30-163,90,47,39,8,4,0,0,0,0,0,0,0,0,33,0,0,True,Everton_Brighton_20240817
Danny Welbeck,18.0,eng ENG,FW,33-265,90,18,18,0,0,0,0,0,0,0,0,0,0,16,0,1,False,Everton_Brighton_20240817
Kaoru Mitoma,22.0,jp JPN,LW,27-089,88,29,29,0,0,0,0,1,0,0,0,0,0,24,0,0,False,Everton_Brighton_20240817
Yasin Ayari,26.0,se SWE,LW,20-316,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,False,Everton_Brighton_20240817
Yankuba Minteh,17.0,gm GAM,RW,20-026,44,13,13,0,0,0,0,0,0,0,0,0,0,9,0,3,False,Everton_Brighton_20240817
Simon Adingra,24.0,ci CIV,RW,22-229,46,21,20,0,0,0,0,1,0,0,0,0,0,13,1,0,False,Everton_Brighton_20240817
João Pedro,9.0,br BRA,AM,22-326,81,16,16,0,0,0,0,0,0,0,0,0,0,9,0,2,False,Everton_Brighton_20240817
Jeremy Sarmiento,16.0,ec ECU,AM,22-062,9,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,False,Everton_Brighton_20240817
Mats Wieffer,27.0,nl NED,DM,24-275,90,72,72,0,0,0,1,0,0,0,0,0,0,63,0,0,False,Everton_Brighton_20240817
James Milner,6.0,eng ENG,DM,38-226,81,40,31,9,3,0,0,7,0,5,2,2,0,30,0,0,False,Everton_Brighton_20240817
Billy Gilmour,11.0,sct SCO,DM,23-067,9,12,12,0,0,1,0,0,0,0,0,0,0,10,0,0,False,Everton_Brighton_20240817
Jack Hinshelwood,41.0,eng ENG,LB,19-128,90,72,58,14,1,0,2,3,13,0,0,0,0,60,0,1,False,Everton_Brighton_20240817
Lewis Dunk,5.0,eng ENG,CB,32-270,75,70,56,14,4,0,1,0,0,0,0,0,0,60,0,0,False,Everton_Brighton_20240817
Adam Webster,4.0,eng ENG,CB,29-226,15,33,33,0,0,0,0,1,0,0,0,0,0,30,0,1,False,Everton_Brighton_20240817
Jan Paul van Hecke,29.0,nl NED,CB,24-070,90,87,85,2,2,0,0,0,0,0,0,0,0,81,0,0,False,Everton_Brighton_20240817
Joël Veltman,34.0,nl NED,RB,32-215,90,52,48,4,3,0,0,1,1,0,0,0,0,42,0,1,False,Everton_Brighton_20240817
Jason Steele,23.0,eng ENG,GK,33-365,90,62,58,4,2,0,0,0,0,0,0,0,0,56,0,0,False,Everton_Brighton_20240817
Chris Wood,11.0,nz NZL,FW,32-254,71,26,26,0,0,0,0,0,0,0,0,0,0,16,0,1,True,Nott'hamForest_Bournemouth_20240817
Taiwo Awoniyi,9.0,ng NGA,FW,27-005,19,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,True,Nott'hamForest_Bournemouth_20240817
Callum Hudson-Odoi,14.0,eng ENG,LW,23-284,71,39,38,1,0,0,0,3,0,1,1,0,0,33,0,0,True,Nott'hamForest_Bournemouth_20240817
Elliot Anderson,8.0,eng ENG,LW,21-285,19,13,12,1,1,0,0,1,0,0,0,0,0,6,0,0,True,Nott'hamForest_Bournemouth_20240817
Anthony Elanga,21.0,se SWE,RW,22-112,53,31,29,2,2,0,0,1,0,0,0,0,0,26,0,1,True,Nott'hamForest_Bournemouth_20240817
Nicolás Domínguez,16.0,ar ARG,RW,26-050,37,29,29,0,0,0,0,0,0,0,0,0,0,24,0,0,True,Nott'hamForest_Bournemouth_20240817
Morgan Gibbs-White,10.0,eng ENG,AM,24-203,90,63,63,0,0,1,0,2,0,0,0,0,0,46,0,2,True,Nott'hamForest_Bournemouth_20240817
