Team,Attacking_Rating,Defensive_Rating,Attacking_Rating_Norm,Defensive_Rating_Norm
Arsenal,1.725,0.5875,0.7241379310344828,1.0
Aston Villa,0.7875000000000001,1.3375,0.07758620689655175,0.4642857142857144
Bournemouth,1.2875,1.35,0.42241379310344834,0.45535714285714285
Brentford,1.2,1.3857142857142857,0.3620689655172413,0.4298469387755103
Brighton,1.5125,1.3125,0.5775862068965517,0.4821428571428572
Burnley,0.675,1.9875,0.0,0.0
Chelsea,1.575,1.475,0.6206896551724137,0.36607142857142855
Crystal Palace,2.125,1.3375,1.0,0.4642857142857144
Everton,1.35,1.475,0.4655172413793104,0.36607142857142855
Fulham,0.9500000000000001,1.3375000000000001,0.18965517241379312,0.46428571428571425
Leeds United,1.2625,1.0625,0.4051724137931034,0.6607142857142858
Liverpool,1.7000000000000002,1.1375,0.706896551724138,0.6071428571428572
Manchester City,1.8125,1.0250000000000001,0.7844827586206896,0.6875
Manchester Utd,1.85,1.575,0.810344827586207,0.2946428571428572
Newcastle Utd,1.225,0.7125,0.37931034482758624,0.9107142857142857
Nott'ham Forest,1.0875000000000001,1.7625,0.2844827586206897,0.16071428571428578
Sunderland,0.9125,1.2,0.16379310344827583,0.5625000000000001
Tottenham,1.0625,1.1375,0.2672413793103448,0.6071428571428572
West Ham,0.9285714285714286,1.5714285714285714,0.1748768472906404,0.2971938775510205
Wolves,0.875,1.2375,0.1379310344827586,0.5357142857142857
