player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,home,game_id
Hugo Ekitike,22.0,frFRA,FW,23-056,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,Liverpool_Bournemouth_20250815
Joe Gomez,2.0,engENG,RB,28-084,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,Liverpool_Bournemouth_20250815
Cody Gakpo,18.0,nlNED,LW,26-100,90.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,True,Liverpool_Bournemouth_20250815
Mohamed Salah,11.0,egEGY,RW,33-061,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,Liverpool_Bournemouth_20250815
Florian Wirtz,7.0,deGER,"AM,FW",22-104,81.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,50.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,True,Liverpool_Bournemouth_20250815
Federico Chiesa,14.0,itITA,FW,27-294,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Liverpool_Bournemouth_20250815
Alexis Mac Allister,10.0,arARG,DM,26-234,71.0,3.0,2.0,1.0,2.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,True,Liverpool_Bournemouth_20250815
Curtis Jones,17.0,engENG,LM,24-197,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Liverpool_Bournemouth_20250815
Dominik Szoboszlai,8.0,huHUN,"DM,RM",24-294,90.0,4.0,4.0,3.0,0.0,1.0,3.0,4.0,75.0,1.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0,True,Liverpool_Bournemouth_20250815
Milos Kerkez,6.0,huHUN,LB,21-281,59.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,True,Liverpool_Bournemouth_20250815
Andrew Robertson,26.0,sctSCO,LB,31-157,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,True,Liverpool_Bournemouth_20250815
Virgil van Dijk,4.0,nlNED,CB,34-038,90.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,2.0,3.0,17.0,0.0,True,Liverpool_Bournemouth_20250815
Ibrahima Konaté,5.0,frFRA,CB,26-082,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,True,Liverpool_Bournemouth_20250815
Jeremie Frimpong,30.0,nlNED,RB,24-248,59.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,True,Liverpool_Bournemouth_20250815
Wataru Endo,3.0,jpJPN,"CM,RB",32-187,31.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,True,Liverpool_Bournemouth_20250815
Alisson,1.0,brBRA,GK,32-317,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Liverpool_Bournemouth_20250815
Evanilson,9.0,brBRA,FW,25-313,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,False,Liverpool_Bournemouth_20250815
David Brooks,7.0,wlsWAL,LM,28-038,83.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,Liverpool_Bournemouth_20250815
Ben Winterburn,47.0,engENG,CM,20-345,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Liverpool_Bournemouth_20250815
Marcus Tavernier,16.0,engENG,"CM,DM",26-146,90.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,False,Liverpool_Bournemouth_20250815
Alex Scott,8.0,engENG,CM,21-359,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,Liverpool_Bournemouth_20250815
