player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,home,game_id
Hugo Ekitike,22,frFRA,FW,23-056,71,14,21,66.7,203,54,9,10,90.0,3,5,60.0,2,2,100.0,1,0.1,0.0,2,1,0,0,3,True,Liverpool_Bournemouth_20250815
Joe Gomez,2,engENG,RB,28-084,19,10,14,71.4,162,93,5,5,100.0,5,6,83.3,0,3,0.0,0,0.0,0.0,0,1,0,0,1,True,Liverpool_Bournemouth_20250815
Cody Gakpo,18,nlNED,LW,26-100,90,23,33,69.7,312,115,14,17,82.4,7,11,63.6,1,2,50.0,0,0.5,0.4,3,1,2,0,5,True,Liverpool_Bournemouth_20250815
Mohamed Salah,11,egEGY,RW,33-061,90,20,36,55.6,362,145,11,13,84.6,4,14,28.6,4,7,57.1,0,0.1,0.1,2,1,1,1,3,True,Liverpool_Bournemouth_20250815
Florian Wirtz,7,deGER,"AM,FW",22-104,81,42,58,72.4,814,277,19,23,82.6,15,22,68.2,8,10,80.0,0,0.3,0.3,3,9,1,0,7,True,Liverpool_Bournemouth_20250815
Federico Chiesa,14,itITA,FW,27-294,9,3,3,100.0,32,14,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,Liverpool_Bournemouth_20250815
Alexis Mac Allister,10,arARG,DM,26-234,71,40,47,85.1,512,157,26,30,86.7,13,13,100.0,0,0,,1,0.5,0.0,1,3,0,0,4,True,Liverpool_Bournemouth_20250815
Curtis Jones,17,engENG,LM,24-197,19,9,12,75.0,180,90,4,4,100.0,4,4,100.0,1,2,50.0,0,0.1,0.0,1,1,2,0,3,True,Liverpool_Bournemouth_20250815
Dominik Szoboszlai,8,huHUN,"DM,RM",24-294,90,67,78,85.9,1064,260,34,35,97.1,19,21,90.5,8,11,72.7,0,0.2,0.1,2,5,1,0,3,True,Liverpool_Bournemouth_20250815
Milos Kerkez,6,huHUN,LB,21-281,59,33,38,86.8,601,269,17,18,94.4,13,16,81.3,3,3,100.0,0,0.0,0.0,0,2,1,0,2,True,Liverpool_Bournemouth_20250815
Andrew Robertson,26,sctSCO,LB,31-157,31,10,14,71.4,186,86,4,6,66.7,5,7,71.4,1,1,100.0,0,0.0,0.0,0,1,1,1,0,True,Liverpool_Bournemouth_20250815
Virgil van Dijk,4,nlNED,CB,34-038,90,63,74,85.1,1022,560,30,31,96.8,27,29,93.1,3,10,30.0,0,0.0,0.0,0,5,0,0,4,True,Liverpool_Bournemouth_20250815
Ibrahima Konaté,5,frFRA,CB,26-082,90,29,33,87.9,503,131,12,12,100.0,14,15,93.3,3,5,60.0,0,0.0,0.0,0,1,0,0,2,True,Liverpool_Bournemouth_20250815
Jeremie Frimpong,30,nlNED,RB,24-248,59,14,19,73.7,181,35,7,8,87.5,5,8,62.5,0,0,,0,0.0,0.0,0,0,0,0,0,True,Liverpool_Bournemouth_20250815
Wataru Endo,3,jpJPN,"CM,RB",32-187,31,16,17,94.1,242,77,13,14,92.9,1,1,100.0,2,2,100.0,1,0.1,0.0,1,3,0,0,1,True,Liverpool_Bournemouth_20250815
Alisson,1,brBRA,GK,32-317,90,37,42,88.1,991,676,10,10,100.0,15,15,100.0,12,17,70.6,0,0.0,0.0,0,2,0,0,2,True,Liverpool_Bournemouth_20250815
Evanilson,9,brBRA,FW,25-313,90,9,13,69.2,124,20,6,7,85.7,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,1,False,Liverpool_Bournemouth_20250815
David Brooks,7,wlsWAL,LM,28-038,83,14,23,60.9,193,107,6,8,75.0,3,5,60.0,2,4,50.0,1,0.7,0.2,3,2,1,1,2,False,Liverpool_Bournemouth_20250815
Ben Winterburn,47,engENG,CM,20-345,7,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Marcus Tavernier,16,engENG,"CM,DM",26-146,90,27,41,65.9,462,166,13,17,76.5,10,14,71.4,2,7,28.6,0,0.2,0.1,1,2,2,0,4,False,Liverpool_Bournemouth_20250815
Alex Scott,8,engENG,CM,21-359,73,19,26,73.1,233,28,10,12,83.3,6,6,100.0,0,4,0.0,0,0.0,0.0,0,0,0,0,1,False,Liverpool_Bournemouth_20250815
Hamed Junior Traorè,25,ciCIV,"LM,CM",25-180,17,2,3,66.7,23,18,1,1,100.0,1,2,50.0,0,0,,1,0.2,0.0,1,0,0,0,0,False,Liverpool_Bournemouth_20250815
Antoine Semenyo,24,ghGHA,RM,25-220,90,7,19,36.8,156,35,2,6,33.3,3,8,37.5,2,3,66.7,0,0.0,0.0,0,0,2,0,2,False,Liverpool_Bournemouth_20250815
Tyler Adams,12,usUSA,DM,26-182,89,28,39,71.8,538,103,12,14,85.7,13,14,92.9,3,6,50.0,0,0.0,0.1,0,1,0,0,0,False,Liverpool_Bournemouth_20250815
Eli Junior Kroupi,22,frFRA,CM,19-053,1,1,1,100.0,15,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Adrien Truffert,3,frFRA,LB,23-268,90,21,27,77.8,388,118,7,8,87.5,11,14,78.6,3,4,75.0,0,0.2,0.1,1,0,4,2,4,False,Liverpool_Bournemouth_20250815
