player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Hugo Ekitike,22,frFRA,FW,23-056,71,30,1,2,15,13,4,30,2,1,50.0,1,50.0,16,76,43,2,1,1,1,2,25,6,True,Liverpool_Bournemouth_20250815
Joe Gomez,2,engENG,RB,28-084,19,15,0,3,9,3,0,15,0,0,,0,,4,8,4,0,0,0,0,0,5,0,True,Liverpool_Bournemouth_20250815
Cody Gakpo,18,nlNED,LW,26-100,90,54,0,5,27,26,7,54,10,2,20.0,5,50.0,32,256,145,6,5,3,2,1,36,6,True,Liverpool_Bournemouth_20250815
Mohamed Salah,11,egEGY,RW,33-061,90,47,2,4,13,30,8,47,2,1,50.0,1,50.0,31,255,127,6,1,5,1,2,35,13,True,Liverpool_Bournemouth_20250815
Florian Wirtz,7,deGER,"AM,FW",22-104,81,68,2,7,33,29,5,68,0,0,,0,,37,174,66,2,2,2,2,3,40,8,True,Liverpool_Bournemouth_20250815
Federico Chiesa,14,itITA,FW,27-294,9,6,0,0,2,4,1,6,0,0,,0,,1,1,0,0,0,0,1,0,3,0,True,Liverpool_Bournemouth_20250815
Alexis Mac Allister,10,arARG,DM,26-234,71,60,2,11,37,12,2,60,1,0,0.0,1,100.0,34,116,70,1,2,0,1,0,42,1,True,Liverpool_Bournemouth_20250815
Curtis Jones,17,engENG,LM,24-197,19,12,0,1,7,4,0,12,0,0,,0,,9,54,29,0,0,0,0,0,10,0,True,Liverpool_Bournemouth_20250815
Dominik Szoboszlai,8,huHUN,"DM,RM",24-294,90,92,2,18,52,22,3,92,3,1,33.3,1,33.3,60,314,155,3,2,1,2,1,67,2,True,Liverpool_Bournemouth_20250815
Milos Kerkez,6,huHUN,LB,21-281,59,47,0,27,16,5,0,47,0,0,,0,,21,49,9,0,1,0,1,0,24,0,True,Liverpool_Bournemouth_20250815
Andrew Robertson,26,sctSCO,LB,31-157,31,18,1,6,7,5,1,18,0,0,,0,,5,6,0,0,0,0,1,0,7,1,True,Liverpool_Bournemouth_20250815
Virgil van Dijk,4,nlNED,CB,34-038,90,99,18,60,35,5,4,99,0,0,,0,,49,198,105,1,0,0,1,0,55,1,True,Liverpool_Bournemouth_20250815
Ibrahima Konaté,5,frFRA,CB,26-082,90,42,8,25,17,1,0,42,2,2,100.0,0,0.0,22,179,86,2,0,0,0,2,21,0,True,Liverpool_Bournemouth_20250815
Jeremie Frimpong,30,nlNED,RB,24-248,59,25,2,9,10,6,0,25,1,1,100.0,0,0.0,13,35,17,0,0,0,0,0,14,2,True,Liverpool_Bournemouth_20250815
Wataru Endo,3,jpJPN,"CM,RB",32-187,31,22,1,3,16,3,0,22,0,0,,0,,7,27,12,1,0,0,1,0,13,0,True,Liverpool_Bournemouth_20250815
Alisson,1,brBRA,GK,32-317,90,42,27,38,4,0,0,42,0,0,,0,,29,87,46,0,0,0,0,0,28,0,True,Liverpool_Bournemouth_20250815
Evanilson,9,brBRA,FW,25-313,90,22,3,4,12,6,4,22,0,0,,0,,8,51,20,1,0,1,1,0,15,1,False,Liverpool_Bournemouth_20250815
David Brooks,7,wlsWAL,LM,28-038,83,30,0,2,8,22,5,30,3,2,66.7,1,33.3,15,97,73,1,2,0,2,1,16,6,False,Liverpool_Bournemouth_20250815
Ben Winterburn,47,engENG,CM,20-345,7,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Marcus Tavernier,16,engENG,"CM,DM",26-146,90,58,4,17,18,24,7,58,5,3,60.0,2,40.0,22,112,49,3,1,0,1,2,28,4,False,Liverpool_Bournemouth_20250815
Alex Scott,8,engENG,CM,21-359,73,29,0,6,16,8,1,29,3,2,66.7,1,33.3,13,98,56,2,2,0,1,1,20,1,False,Liverpool_Bournemouth_20250815
Hamed Junior Traorè,25,ciCIV,"LM,CM",25-180,17,7,1,6,0,1,0,7,1,0,0.0,1,100.0,1,2,0,0,0,0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Antoine Semenyo,24,ghGHA,RM,25-220,90,35,0,4,16,16,4,35,5,1,20.0,2,40.0,16,168,87,2,3,1,3,1,20,2,False,Liverpool_Bournemouth_20250815
Tyler Adams,12,usUSA,DM,26-182,89,58,5,23,29,6,2,58,1,0,0.0,1,100.0,17,94,36,0,0,0,0,0,21,1,False,Liverpool_Bournemouth_20250815
Eli Junior Kroupi,22,frFRA,CM,19-053,1,2,0,0,1,1,0,2,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Adrien Truffert,3,frFRA,LB,23-268,90,41,7,16,12,13,0,41,2,0,0.0,2,100.0,15,95,54,2,1,0,0,0,17,2,False,Liverpool_Bournemouth_20250815
Marcos Senesi,5,arARG,CB,28-097,90,52,9,27,19,6,1,52,0,0,,0,,24,98,48,0,0,0,1,0,25,0,False,Liverpool_Bournemouth_20250815
Bafodé Diakité,18,frFRA,CB,24-221,90,56,6,30,26,0,0,56,0,0,,0,,20,53,26,0,0,0,2,0,26,0,False,Liverpool_Bournemouth_20250815
Adam Smith,15,engENG,RB,34-108,89,47,5,14,27,6,2,47,1,0,0.0,0,0.0,11,52,24,1,0,1,2,0,17,2,False,Liverpool_Bournemouth_20250815
James Hill,23,engENG,RB,23-217,1,6,0,4,2,0,0,6,0,0,,0,,1,0,0,0,0,0,0,0,2,0,False,Liverpool_Bournemouth_20250815
Đorđe Petrović,1,rsSRB,GK,25-311,90,46,36,46,0,0,0,46,0,0,,0,,23,110,74,0,0,0,0,0,19,0,False,Liverpool_Bournemouth_20250815
Ollie Watkins,11,engENG,FW,29-229,90,25,1,5,11,10,5,25,4,3,75.0,0,0.0,14,117,81,4,2,2,2,1,15,6,True,AstonVilla_NewcastleUtd_20250816
Morgan Rogers,27,engENG,"LW,LM",23-021,90,30,1,4,17,9,2,30,3,2,66.7,1,33.3,23,118,25,0,1,0,5,1,19,3,True,AstonVilla_NewcastleUtd_20250816
John McGinn,7,sctSCO,"RW,RM",30-302,83,32,2,7,11,15,3,32,3,1,33.3,2,66.7,19,133,33,1,2,1,3,1,20,6,True,AstonVilla_NewcastleUtd_20250816
Donyell Malen,17,nlNED,RM,26-219,7,2,0,0,1,1,1,2,1,0,0.0,1,100.0,2,15,6,1,0,1,0,0,2,1,True,AstonVilla_NewcastleUtd_20250816
Youri Tielemans,8,beBEL,"AM,CM",28-101,90,31,1,5,20,6,0,31,0,0,,0,,14,40,18,0,0,0,2,0,17,5,True,AstonVilla_NewcastleUtd_20250816
Amadou Onana,24,beBEL,"DM,CM",24-000,90,54,5,18,35,2,0,54,2,2,100.0,0,0.0,39,206,88,2,1,0,0,1,37,1,True,AstonVilla_NewcastleUtd_20250816
Boubacar Kamara,44,frFRA,"DM,CB",25-266,90,51,7,16,27,8,1,51,3,1,33.3,1,33.3,28,147,100,1,0,0,2,0,27,0,True,AstonVilla_NewcastleUtd_20250816
Lucas Digne,12,frFRA,LB,32-027,90,47,3,21,12,14,0,47,0,0,,0,,25,105,47,0,1,0,1,0,21,8,True,AstonVilla_NewcastleUtd_20250816
Tyrone Mings,5,engENG,CB,32-156,90,47,11,26,22,0,0,47,0,0,,0,,21,81,38,0,0,0,0,0,21,0,True,AstonVilla_NewcastleUtd_20250816
Ezri Konsa,4,engENG,CB,27-297,65,38,2,13,25,0,0,38,1,0,0.0,1,100.0,25,118,81,1,0,0,0,0,25,0,True,AstonVilla_NewcastleUtd_20250816
Matty Cash,2,plPOL,RB,28-009,90,41,9,17,12,12,1,41,1,0,0.0,0,0.0,13,58,17,0,0,0,0,0,12,4,True,AstonVilla_NewcastleUtd_20250816
Marco Bizot,40,nlNED,GK,34-159,90,47,40,47,0,0,0,47,0,0,,0,,26,112,31,0,0,0,0,0,19,0,True,AstonVilla_NewcastleUtd_20250816
Anthony Gordon,10,engENG,FW,24-173,90,35,0,1,15,19,6,35,2,1,50.0,1,50.0,22,112,64,4,2,3,2,2,20,4,False,AstonVilla_NewcastleUtd_20250816
Harvey Barnes,11,engENG,LW,27-250,89,44,1,2,15,28,9,44,3,0,0.0,2,66.7,39,249,160,7,2,3,2,0,37,8,False,AstonVilla_NewcastleUtd_20250816
