player_code,fbref_name,position,fpl_cost,fpl_form,season_ppg,total_points
154561,David Raya,GK,6.0,3.2,4.4,66
226597,Gabriel Magalhães,DEF,6.2,0.0,7.4,81
462424,William Saliba,DEF,6.0,0.5,3.7,41
466075,Riccardo Calafiori,DEF,5.8,2.5,4.7,71
445122,Jurriën Timber,DEF,6.5,2.8,5.2,78
499169,Myles Lewis-Skelly,DEF,5.1,0.5,0.8,8
198869,Ben White,DEF,5.3,3.8,7.0,21
223340,Bukayo Saka,MID,10.2,4.8,4.9,64
184029,Martin Ødegaard,MID,7.8,1.5,2.1,19
248857,Noni Madueke,MID,6.8,1.5,1.8,16
444145,Gabriel Martinelli,MID,6.8,1.2,1.9,21
116216,Leandro Trossard,MID,6.9,4.5,5.3,58
204480,Declan Rice,MID,7.1,4.8,5.6,84
195384,Mikel Merino,MID,6.0,7.0,3.6,51
128295,Christian Nørgaard,MID,5.2,0.0,1.0,2
499175,Ethan Nwaneri,MID,5.1,0.2,1.3,8
481655,Martín Zubimendi,MID,5.3,1.8,3.7,55
219847,Kai Havertz,FWD,7.3,0.0,1.0,1
232413,Eberechi Eze,MID,7.8,6.0,4.6,65
500040,Cristhian Mosquera,DEF,5.4,0.8,1.7,17
224117,Viktor Gyökeres,FWD,8.8,0.5,3.0,39
616077,Max Dowman,MID,4.3,0.0,2.5,5
448104,Piero Hincapié,DEF,5.4,3.5,2.7,16
98980,Emiliano Martínez,GK,5.1,5.6,4.5,54
72147,Marco Bizot,GK,4.3,0.2,2.7,8
199796,Matty Cash,DEF,4.8,5.4,4.9,73
101188,Lucas Digne,DEF,4.5,3.6,3.6,51
199798,Ezri Konsa,DEF,4.4,3.8,3.3,46
441302,Ian Maatsen,DEF,4.2,0.8,1.0,10
149484,Tyrone Mings,DEF,4.3,0.0,3.4,24
244954,Pau Torres,DEF,4.3,4.0,3.2,39
515597,Lamare Bogarde,DEF,4.0,1.0,1.8,20
244850,Morgan Rogers,MID,6.9,5.6,4.1,61
166989,Youri Tielemans,MID,5.9,2.4,2.2,20
195546,Emi Buendía,MID,5.3,4.0,3.7,48
204646,Donyell Malen,MID,5.1,4.0,3.1,46
122806,John McGinn,MID,5.4,3.2,2.9,43
88894,Ross Barkley,MID,4.8,2.2,2.1,15
226944,Boubacar Kamara,MID,4.9,5.8,3.8,50
449871,Amadou Onana,MID,4.8,4.6,3.8,38
178301,Ollie Watkins,FWD,8.5,4.0,3.0,45
444884,Harvey Elliott,MID,5.3,0.0,1.0,4
209243,Jadon Sancho,MID,5.8,0.8,1.0,7
485337,Evann Guessand,MID,6.2,1.8,2.0,22
645618,Bradley Paul Burrowes,MID,4.4,0.0,1.0,1
184667,Victor Lindelöf,DEF,4.5,0.2,1.0,4
58621,Kyle Walker,DEF,4.4,1.2,2.3,34
478969,Hjalmar Ekdal,DEF,4.0,1.2,2.8,25
477717,Maxime Estève,DEF,3.9,3.2,2.7,41
494960,Quilindschy Hartman,DEF,4.0,1.5,3.0,42
519895,Oliver Sonne,DEF,3.9,0.0,1.0,3
180804,Axel Tuanzebe,DEF,3.9,0.2,2.4,17
208912,Joe Worrall,DEF,3.9,0.2,1.0,5
444180,Jaidon Anthony,MID,5.3,2.0,3.8,57
179458,Jacob Bruun Larsen,MID,5.3,1.2,1.6,21
172567,Josh Cullen,MID,5.0,2.5,4.2,63
174592,Marcus Edwards,MID,4.7,0.5,1.0,5
465527,Hannibal Mejbri,MID,4.8,0.2,1.7,22
167887,Josh Laurent,MID,4.8,0.5,1.3,17
469272,Loum Tchaouna,MID,4.9,1.5,2.2,28
431639,Zian Flemming,FWD,5.3,3.5,3.2,39
435973,Lyle Foster,FWD,5.0,1.5,2.8,34
44699,Ashley Barnes,FWD,4.3,0.0,1.0,1
67089,Martin Dúbravka,GK,4.0,2.0,2.9,43
503714,Lesley Ugochukwu,MID,5.0,1.5,2.7,38
440323,Armando Broja,FWD,5.2,1.2,1.1,10
216055,Florentino Luís,MID,5.0,2.8,3.2,39
457569,Đorđe Petrović,GK,4.5,2.6,3.5,52
221466,Marcos Senesi,DEF,5.0,3.0,5.1,71
54469,Adam Smith,DEF,4.4,1.8,2.4,17
494521,Adrien Truffert,DEF,4.5,2.2,3.7,56
463981,James Hill,DEF,4.0,0.2,2.2,18
575901,Julio Soler,DEF,4.0,0.2,1.0,2
222683,Justin Kluivert,MID,7.0,1.6,1.8,24
437730,Antoine Semenyo,MID,7.6,1.6,5.9,83
201658,Marcus Tavernier,MID,5.5,3.2,4.1,61
200785,Tyler Adams,MID,5.0,2.8,3.5,49
111317,David Brooks,MID,5.0,0.6,1.8,23
158499,Ryan Christie,MID,4.9,0.4,1.7,17
155408,Lewis Cook,MID,4.9,0.6,1.0,7
503139,Alex Scott,MID,5.0,2.4,3.1,46
424044,Hamed Junior Traorè,MID,4.5,0.0,4.0,4
606775,Ben Winterburn,MID,4.5,0.0,1.0,1
444102,Evanilson,FWD,7.0,3.0,2.9,38
168636,Enes Ünal,FWD,5.4,1.6,1.8,9
560262,Eli Junior Kroupi,FWD,4.6,1.2,3.2,35
496208,Ben Gannon-Doak,MID,4.9,0.0,1.8,7
242882,Bafodé Diakité,DEF,4.4,2.2,3.4,41
489888,Amine Adli,MID,5.4,2.2,1.5,18
