fpl_name,fbref_name,score,Manual Override
Veljko Milosavljevic,Veljko Milosavljević,95.0,
Vitalii Mykolenko,Vitaliy Mykolenko,94.11764705882352,
Josh Acheampong,Joshua Acheampong,93.75,
Filip Jörgensen,Filip Jørgensen,93.33333333333333,
Ladislav Krejcí,Ladislav Krejčí,93.33333333333333,
Nico O'Reilly,Nico O’Reilly,92.3076923076923,
Hugo Ekitiké,Hugo Ekitike,91.66666666666666,
James McAtee,James Mcatee,91.66666666666666,
Ismaïla Sarr,Ismaila Sarr,91.66666666666666,
Josh King,Joshua King,90.0,
Ollie Scarles,Oliver Scarles,88.88888888888889,
Bradley Burrowes,Bradley Paul Burrowes,86.48648648648648,
Ferdi Kadıoğlu,Ferdi Kadioglu,85.71428571428572,
Gabriel Martinelli Silva,Gabriel Martinelli,85.71428571428572,
Benjamin Sesko,Benjamin Šeško,85.71428571428572,
Jefferson Lerma Solís,Jefferson Lerma,83.33333333333334,
Emiliano Martínez Romero,Emiliano Martínez,82.92682926829268,
Carlos Alcaraz Durán,Carlos Alcaraz,82.35294117647058,
Robert Lynch Sánchez,Robert Sánchez,82.35294117647058,
Martín Zubimendi Ibáñez,Martín Zubimendi,82.05128205128204,
Marc Guiu Paz,Marc Guiu,81.81818181818181,
Jérémy Doku,Jeremy Doku,81.81818181818181,
Jamie Bynoe-Gittens,Jamie Gittens,81.25,
Marcos Senesi Barón,Marcos Senesi,81.25,
Bruno Borges Fernandes,Bruno Fernandes,81.08108108108108,
Eliezer Mayenda Dossou,Eliezer Mayenda,81.08108108108108,
Daniel Muñoz Mejía,Daniel Muñoz,80.0,
Marc Cucurella Saseta,Marc Cucurella,80.0,
Moisés Caicedo Corozo,Moisés Caicedo,80.0,
Mikel Merino Zazón,Mikel Merino,80.0,
Alejandro Garnacho Ferreyra,Alejandro Garnacho,80.0,
Tino Livramento,Valentino Livramento,80.0,
Saša Kalajdžić,Sasa Kalajdzic,78.57142857142857,
Benjamin White,Ben White,78.26086956521739,
Santiago Ignacio Bueno,Santiago Bueno,77.77777777777779,
Hamed Traorè,Hamed Junior Traorè,77.41935483870968,
Adama Traoré Diarra,Adama Traoré,77.41935483870968,
Dominic Solanke-Mitchell,Dominic Solanke,76.92307692307692,
Hugo Bueno López,Hugo Bueno,76.92307692307692,
Pedro Lomba Neto,Pedro Neto,76.92307692307692,
Ezri Konsa Ngoyo,Ezri Konsa,76.92307692307692,
Rodrigo Martins Gomes,Rodrigo Gomes,76.47058823529412,
Manuel Ugarte Ribeiro,Manuel Ugarte,76.47058823529412,
Gabriel dos Santos Magalhães,Gabriel Magalhães,75.55555555555556,
Álex Jiménez Sánchez,Álex Jiménez,75.0,
Jorge Cuenca Barreno,Jorge Cuenca,75.0,
Rodrigo Muniz Carvalho,Rodrigo Muniz,74.28571428571429,
David Raya Martín,David Raya,74.07407407407408,
Maximilian Kilman,Max Kilman,74.07407407407408,
Lucas Estella Perri,Lucas Perri,73.33333333333334,
Julio Soler Barreto,Julio Soler,73.33333333333334,
Pedro Porro Sauceda,Pedro Porro,73.33333333333334,
Yerson Mosquera Valdelamar,Yerson Mosquera,73.17073170731707,
Diego Gómez Amarilla,Diego Gómez,70.96774193548387,
Diogo Dalot Teixeira,Diogo Dalot,70.96774193548387,
Raúl Jiménez Rodríguez,Raúl Jiménez,70.58823529411764,
Nico González Iglesias,Nicolás González,68.42105263157895,
Florentino Ibrain Morris Luís,Florentino Luís,68.18181818181819,
Tanaka Ao,Ao Tanaka,66.66666666666667,
Alisson Becker,Alisson,66.66666666666667,
Fer López González,Fer López,66.66666666666667,
Mateus Gonçalo Espanha Fernandes,Mateus Fernandes,66.66666666666667,
Richarlison de Andrade,Richarlison,66.66666666666667,
Emiliano Buendía Stati,Emi Buendía,66.66666666666667,
Bruno Guimarães Rodriguez Moura,Bruno Guimarães,65.21739130434783,
Yéremy Pino Santos,Andrey Santos,64.51612903225806,Yeremi Pino
Luis Guilherme Lira dos Santos,Luis Guilherme,63.63636363636363,
Andrey Nascimento dos Santos,Andrey Santos,63.41463414634146,
Douglas Luiz Soares de Paulo,Douglas Luiz,60.0,
Fábio Freitas Gouveia Carvalho,Fabio Carvalho,59.09090909090908,
Matheus Santos Carneiro da Cunha,Matheus Cunha,57.77777777777777,
Igor Jesus Maciel da Cruz,Igor Jesus,57.14285714285714,
Jair Paula da Cunha Filho,Jair Cunha,57.14285714285714,
Endo Wataru,Dango Ouattara,56.00000000000001,Wataru Endo
João Victor Gomes da Silva,João Gomes,55.55555555555556,
Carlos Henrique Casimiro,Marcos Senesi,54.054054054054056,Casimiro
Mitoma Kaoru,Michael Kayode,53.84615384615385,Kaoru Mitoma
José Malheiro de Sá,José Sá,53.84615384615385,
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,52.83018867924528,
João Pedro Ferreira da Silva,João Pedro,52.63157894736843,Jota Silva
Kevin Santos Lopes de Macedo,Kevin Danso,51.28205128205128,Kevin
João Pedro Junqueira de Jesus,João Pedro,51.28205128205128,
Rodrigo 'Rodri' Hernandez Cascante,Rodrigo Bentancur,50.98039215686274,Rodri
Estêvão Almeida de Oliveira Gonçalves,Estêvão Willian,50.0,
Igor Thiago Nascimento Rodrigues,Morgan Rogers,48.88888888888889,Thiago
Lucas Tolentino Coelho de Lima,Valentino Livramento,48.0,Lucas Paquetá
Rúben dos Santos Gato Alves Dias,Rúben Dias,47.61904761904761,
Murillo Costa dos Santos,Konstantinos Mavropanos,46.808510638297875,Murillo
Felipe Rodrigues da Silva,Bernardo Silva,46.15384615384615,Morato
André Trindade da Costa Neto,Andrew Robertson,45.45454545454546,André
Igor Julio dos Santos de Paulo,Julio Soler,43.90243902439024,Igor
Sávio Moreira de Oliveira,Sepp van den Berg,42.85714285714286,Sávio
Norberto Bercique Gomes Betuncal,Toti Gomes,42.85714285714286,Beto
Francisco Evanilson de Lima Barbosa,Evanilson,40.90909090909091,
Joelinton Cássio Apolinário de Lira,Joelinton,40.90909090909091,
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,João Palhinha,38.23529411764706,
