Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,home,game_id
Hugo Ekitike,22.0,fr FRA,FW,23-056,71,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,1759666718714252820
Joe Gomez,2.0,eng ENG,RB,28-084,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,1759666718714252820
Cody Gakpo,18.0,nl NED,LW,26-100,90,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0,True,1759666718714252820
Mohamed Salah,11.0,eg EGY,RW,33-061,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,True,1759666718714252820
Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,2,2,0,1,1,2,4,50.0,2,2,0,2,0,2,1,0,True,1759666718714252820
Federico Chiesa,14.0,it ITA,FW,27-294,9,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,True,1759666718714252820
Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,3,2,1,2,0,3,4,75.0,1,1,0,1,1,4,0,0,True,1759666718714252820
Curtis Jones,17.0,eng ENG,LM,24-197,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,1759666718714252820
Dominik Szoboszlai,8.0,hu HUN,"DM,RM",24-294,90,4,4,3,0,1,3,4,75.0,1,2,0,2,0,4,2,1,True,1759666718714252820
Milos Kerkez,6.0,hu HUN,LB,21-281,59,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,5,0,True,1759666718714252820
Andrew Robertson,26.0,sct SCO,LB,31-157,31,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,True,1759666718714252820
Virgil van Dijk,4.0,nl NED,CB,34-038,90,1,0,0,1,0,1,1,100.0,0,3,1,2,2,3,17,0,True,1759666718714252820
Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,7,0,True,1759666718714252820
Jeremie Frimpong,30.0,nl NED,RB,24-248,59,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,2,0,True,1759666718714252820
Wataru Endo,3.0,jp JPN,"CM,RB",32-187,31,2,1,0,0,2,1,2,50.0,1,0,0,0,0,2,1,0,True,1759666718714252820
Alisson,1.0,br BRA,GK,32-317,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,1759666718714252820
Evanilson,9.0,br BRA,FW,25-313,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,False,1759666718714252820
David Brooks,7.0,wls WAL,LM,28-038,83,2,2,0,1,1,0,4,0.0,4,0,0,0,0,2,0,0,False,1759666718714252820
Ben Winterburn,47.0,eng ENG,CM,20-345,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,1759666718714252820
Marcus Tavernier,16.0,eng ENG,"CM,DM",26-146,90,3,3,0,2,1,1,1,100.0,0,0,0,0,1,4,6,0,False,1759666718714252820
