Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
Alisson,br BRA,32-317,90,3,2.0,1,33.3,0.8,6.0,11,54.5,41.0,4.0,26.8,31.7,16,1.0,6.3,0,7.0,True,Liverpool_Bournemouth_20250815
Đorđe Petrović,rs SRB,25-311,90,10,4.0,6,60.0,3.0,7.0,20,35.0,29.0,5.0,41.4,36.1,15,2.0,13.3,4,15.3,False,Liverpool_Bournemouth_20250815
Marco Bizot,nl NED,34-159,90,3,0.0,3,100.0,0.6,4.0,24,16.7,34.0,4.0,41.2,35.6,22,3.0,13.6,3,15.1,True,AstonVilla_NewcastleUtd_20250816
Nick Pope,eng ENG,33-119,90,3,0.0,3,100.0,0.2,1.0,6,16.7,26.0,12.0,15.4,25.2,6,3.0,50.0,4,17.3,False,AstonVilla_NewcastleUtd_20250816
Robin Roefs,nl NED,22-211,90,3,0.0,3,100.0,0.4,3.0,15,20.0,23.0,3.0,52.2,41.2,18,2.0,11.1,0,6.8,True,Sunderland_WestHam_20250816
Mads Hermansen,dk DEN,25-036,90,5,3.0,2,40.0,1.6,8.0,20,40.0,36.0,4.0,55.6,38.5,10,1.0,10.0,0,8.2,False,Sunderland_WestHam_20250816
Guglielmo Vicario,it ITA,28-313,90,4,0.0,4,100.0,1.1,1.0,2,50.0,46.0,4.0,2.2,23.0,10,0.0,0.0,0,6.0,True,Tottenham_Burnley_20250816
Martin Dúbravka,sk SVK,36-213,90,6,3.0,3,50.0,2.6,5.0,22,22.7,18.0,3.0,61.1,40.9,22,3.0,13.6,0,4.7,False,Tottenham_Burnley_20250816
Bart Verbruggen,nl NED,22-363,90,2,1.0,1,50.0,0.7,1.0,10,10.0,42.0,3.0,23.8,27.4,11,1.0,9.1,0,10.7,True,Brighton_Fulham_20250816
Bernd Leno,de GER,33-165,90,4,1.0,3,100.0,1.0,7.0,20,35.0,45.0,7.0,33.3,32.0,9,2.0,22.2,0,4.0,False,Brighton_Fulham_20250816
José Sá,pt POR,32-211,90,4,4.0,0,0.0,2.3,3.0,8,37.5,18.0,3.0,27.8,29.2,15,1.0,6.7,0,5.0,True,Wolves_ManchesterCity_20250816
James Trafford,eng ENG,22-310,90,3,0.0,3,100.0,0.7,1.0,8,12.5,28.0,3.0,21.4,27.9,11,1.0,9.1,2,12.9,False,Wolves_ManchesterCity_20250816
Matz Sels,be BEL,33-172,90,3,1.0,2,100.0,1.5,2.0,10,20.0,23.0,4.0,34.8,36.1,11,2.0,18.2,2,16.6,True,Nott'hamForest_Brentford_20250817
Caoimhín Kelleher,ie IRL,26-267,90,5,3.0,2,40.0,2.4,5.0,15,33.3,36.0,11.0,33.3,31.6,21,0.0,0.0,3,13.2,False,Nott'hamForest_Brentford_20250817
Robert Sánchez,es ESP,27-272,90,4,0.0,4,100.0,0.3,2.0,11,18.2,30.0,2.0,30.0,30.9,10,0.0,0.0,1,15.8,True,Chelsea_CrystalPalace_20250817
