Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Hugo Ekitike,22.0,fr FRA,FW,23-056,71,14,21,66.7,203,54,1,0.1,0.0,2,1,0,0,3,True,Liverpool_Bournemouth_20250815
Joe Gomez,2.0,eng ENG,RB,28-084,19,10,14,71.4,162,93,0,0.0,0.0,0,1,0,0,1,True,Liverpool_Bournemouth_20250815
Cody Gakpo,18.0,nl NED,LW,26-100,90,23,33,69.7,312,115,0,0.5,0.4,3,1,2,0,5,True,Liverpool_Bournemouth_20250815
Mohamed Salah,11.0,eg EGY,RW,33-061,90,20,36,55.6,362,145,0,0.1,0.1,2,1,1,1,3,True,Liverpool_Bournemouth_20250815
Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,42,58,72.4,814,277,0,0.3,0.3,3,9,1,0,7,True,Liverpool_Bournemouth_20250815
Federico Chiesa,14.0,it ITA,FW,27-294,9,3,3,100.0,32,14,0,0.0,0.0,0,0,0,0,0,True,Liverpool_Bournemouth_20250815
Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,40,47,85.1,512,157,1,0.5,0.0,1,3,0,0,4,True,Liverpool_Bournemouth_20250815
Curtis Jones,17.0,eng ENG,LM,24-197,19,9,12,75.0,180,90,0,0.1,0.0,1,1,2,0,3,True,Liverpool_Bournemouth_20250815
Dominik Szoboszlai,8.0,hu HUN,"DM,RM",24-294,90,67,78,85.9,1064,260,0,0.2,0.1,2,5,1,0,3,True,Liverpool_Bournemouth_20250815
Milos Kerkez,6.0,hu HUN,LB,21-281,59,33,38,86.8,601,269,0,0.0,0.0,0,2,1,0,2,True,Liverpool_Bournemouth_20250815
Andrew Robertson,26.0,sct SCO,LB,31-157,31,10,14,71.4,186,86,0,0.0,0.0,0,1,1,1,0,True,Liverpool_Bournemouth_20250815
Virgil van Dijk,4.0,nl NED,CB,34-038,90,63,74,85.1,1022,560,0,0.0,0.0,0,5,0,0,4,True,Liverpool_Bournemouth_20250815
Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,29,33,87.9,503,131,0,0.0,0.0,0,1,0,0,2,True,Liverpool_Bournemouth_20250815
Jeremie Frimpong,30.0,nl NED,RB,24-248,59,14,19,73.7,181,35,0,0.0,0.0,0,0,0,0,0,True,Liverpool_Bournemouth_20250815
Wataru Endo,3.0,jp JPN,"CM,RB",32-187,31,16,17,94.1,242,77,1,0.1,0.0,1,3,0,0,1,True,Liverpool_Bournemouth_20250815
Alisson,1.0,br BRA,GK,32-317,90,37,42,88.1,991,676,0,0.0,0.0,0,2,0,0,2,True,Liverpool_Bournemouth_20250815
