Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,home,game_id
Hugo Ekitike,22.0,fr FRA,FW,23-056,71,21,20,1,0,0,0,0,0,0,0,0,0,14,0,0,True,Liverpool_Bournemouth_20250815
Joe Gomez,2.0,eng ENG,RB,28-084,19,14,7,7,0,0,0,0,7,0,0,0,0,10,0,0,True,Liverpool_Bournemouth_20250815
Cody Gakpo,18.0,nl NED,LW,26-100,90,33,32,1,0,0,0,3,1,0,0,0,0,23,0,1,True,Liverpool_Bournemouth_20250815
Mohamed Salah,11.0,eg EGY,RW,33-061,90,36,35,1,0,2,0,5,1,0,0,0,0,20,0,0,True,Liverpool_Bournemouth_20250815
Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,58,48,10,0,0,0,4,3,6,3,1,0,42,0,2,True,Liverpool_Bournemouth_20250815
Federico Chiesa,14.0,it ITA,FW,27-294,9,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,True,Liverpool_Bournemouth_20250815
Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,47,47,0,0,0,0,1,0,0,0,0,0,40,0,2,True,Liverpool_Bournemouth_20250815
Curtis Jones,17.0,eng ENG,LM,24-197,19,12,11,0,0,0,0,0,0,0,0,0,0,9,1,0,True,Liverpool_Bournemouth_20250815
Dominik Szoboszlai,8.0,hu HUN,"DM,RM",24-294,90,78,71,6,4,1,0,1,1,0,0,0,0,67,1,1,True,Liverpool_Bournemouth_20250815
Milos Kerkez,6.0,hu HUN,LB,21-281,59,38,27,11,3,0,0,1,8,0,0,0,0,33,0,1,True,Liverpool_Bournemouth_20250815
Andrew Robertson,26.0,sct SCO,LB,31-157,31,14,10,4,0,0,0,1,4,0,0,0,0,10,0,0,True,Liverpool_Bournemouth_20250815
Virgil van Dijk,4.0,nl NED,CB,34-038,90,74,70,4,1,0,0,0,0,0,0,0,0,63,0,0,True,Liverpool_Bournemouth_20250815
Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,33,33,0,0,0,0,0,0,0,0,0,0,29,0,1,True,Liverpool_Bournemouth_20250815
Jeremie Frimpong,30.0,nl NED,RB,24-248,59,19,17,2,0,0,0,1,2,0,0,0,0,14,0,0,True,Liverpool_Bournemouth_20250815
Wataru Endo,3.0,jp JPN,"CM,RB",32-187,31,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,True,Liverpool_Bournemouth_20250815
Alisson,1.0,br BRA,GK,32-317,90,42,37,5,4,0,0,0,0,0,0,0,0,37,0,0,True,Liverpool_Bournemouth_20250815
Evanilson,9.0,br BRA,FW,25-313,90,13,12,1,0,0,0,0,0,0,0,0,0,9,0,1,False,Liverpool_Bournemouth_20250815
David Brooks,7.0,wls WAL,LM,28-038,83,23,20,2,0,0,0,4,0,2,2,0,0,14,1,2,False,Liverpool_Bournemouth_20250815
Ben Winterburn,47.0,eng ENG,CM,20-345,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Marcus Tavernier,16.0,eng ENG,"CM,DM",26-146,90,41,38,2,0,0,0,5,0,2,1,0,0,27,1,1,False,Liverpool_Bournemouth_20250815
Alex Scott,8.0,eng ENG,CM,21-359,73,26,21,5,0,0,0,3,0,2,2,0,0,19,0,0,False,Liverpool_Bournemouth_20250815
Hamed Junior Traorè,25.0,ci CIV,"LM,CM",25-180,17,3,2,1,0,0,0,1,0,1,1,0,0,2,0,0,False,Liverpool_Bournemouth_20250815
Antoine Semenyo,24.0,gh GHA,RM,25-220,90,19,15,4,0,0,0,0,4,0,0,0,0,7,0,0,False,Liverpool_Bournemouth_20250815
Tyler Adams,12.0,us USA,DM,26-182,89,39,39,0,0,0,0,0,0,0,0,0,0,28,0,4,False,Liverpool_Bournemouth_20250815
Eli Junior Kroupi,22.0,fr FRA,CM,19-053,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False,Liverpool_Bournemouth_20250815
Adrien Truffert,3.0,fr FRA,LB,23-268,90,27,22,5,0,0,0,4,5,0,0,0,0,21,0,1,False,Liverpool_Bournemouth_20250815
Marcos Senesi,5.0,ar ARG,CB,28-097,90,33,32,1,1,0,0,2,0,0,0,0,0,22,0,0,False,Liverpool_Bournemouth_20250815
Bafodé Diakité,18.0,fr FRA,CB,24-221,90,41,39,2,2,0,1,0,0,0,0,0,0,30,0,0,False,Liverpool_Bournemouth_20250815
Adam Smith,15.0,eng ENG,RB,34-108,89,32,24,8,2,0,0,1,6,0,0,0,0,20,0,1,False,Liverpool_Bournemouth_20250815
James Hill,23.0,eng ENG,RB,23-217,1,4,2,2,0,0,0,0,2,0,0,0,0,2,0,0,False,Liverpool_Bournemouth_20250815
Đorđe Petrović,1.0,rs SRB,GK,25-311,90,40,27,13,2,0,0,0,0,0,0,0,0,27,0,0,False,Liverpool_Bournemouth_20250815
Ollie Watkins,11.0,eng ENG,FW,29-229,90,16,16,0,0,0,0,1,0,0,0,0,0,9,0,1,True,AstonVilla_NewcastleUtd_20250816
Morgan Rogers,27.0,eng ENG,"LW,LM",23-021,90,20,20,0,0,3,0,0,0,0,0,0,0,10,0,0,True,AstonVilla_NewcastleUtd_20250816
John McGinn,7.0,sct SCO,"RW,RM",30-302,83,22,21,1,0,0,0,3,0,1,1,0,0,15,0,0,True,AstonVilla_NewcastleUtd_20250816
Donyell Malen,17.0,nl NED,RM,26-219,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,AstonVilla_NewcastleUtd_20250816
