Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,home,game_id
Hugo Ekitike,22.0,fr FRA,FW,23-056,71,1,1,0,0,4,2,0,0,30,0,0,0,1.1,1.1,0.1,4,2,14,21,66.7,3,16,2,2,1,True,1759666718714252820
Joe Gomez,2.0,eng ENG,RB,28-084,19,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,4,0,0,0,True,1759666718714252820
Cody Gakpo,18.0,nl NED,LW,26-100,90,1,0,0,0,3,2,0,0,54,1,0,1,0.2,0.2,0.5,3,0,23,33,69.7,5,32,6,10,2,True,1759666718714252820
Mohamed Salah,11.0,eg EGY,RW,33-061,90,1,0,0,0,3,2,0,0,47,0,0,1,0.3,0.3,0.1,3,0,20,36,55.6,3,31,6,2,1,True,1759666718714252820
Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,0,0,0,0,1,0,0,0,68,2,0,2,0.1,0.1,0.3,8,0,42,58,72.4,7,37,2,0,0,True,1759666718714252820
Federico Chiesa,14.0,it ITA,FW,27-294,9,1,0,0,0,1,1,0,0,6,1,0,0,0.2,0.2,0.0,0,0,3,3,100.0,0,1,0,0,0,True,1759666718714252820
Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,0,1,0,0,1,1,0,0,60,3,1,1,0.0,0.0,0.5,3,1,40,47,85.1,4,34,1,1,0,True,1759666718714252820
Curtis Jones,17.0,eng ENG,LM,24-197,19,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,9,12,75.0,3,9,0,0,0,True,1759666718714252820
Dominik Szoboszlai,8.0,hu HUN,"DM,RM",24-294,90,0,0,0,0,3,1,0,0,92,4,0,2,0.1,0.1,0.2,5,1,67,78,85.9,3,60,3,3,1,True,1759666718714252820
Milos Kerkez,6.0,hu HUN,LB,21-281,59,0,0,0,0,0,0,1,0,47,1,0,0,0.0,0.0,0.0,2,1,33,38,86.8,2,21,0,0,0,True,1759666718714252820
Andrew Robertson,26.0,sct SCO,LB,31-157,31,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,10,14,71.4,0,5,0,0,0,True,1759666718714252820
Virgil van Dijk,4.0,nl NED,CB,34-038,90,0,0,0,0,2,1,0,0,99,1,2,3,0.2,0.2,0.0,2,0,63,74,85.1,4,49,1,0,0,True,1759666718714252820
Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,29,33,87.9,2,22,2,2,2,True,1759666718714252820
Jeremie Frimpong,30.0,nl NED,RB,24-248,59,0,0,0,0,1,0,0,0,25,1,1,2,0.0,0.0,0.0,1,0,14,19,73.7,0,13,0,1,1,True,1759666718714252820
Wataru Endo,3.0,jp JPN,"CM,RB",32-187,31,0,1,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.1,2,1,16,17,94.1,1,7,1,0,0,True,1759666718714252820
