name_match,player_code,position,first_name,last_name,fpl_cost,fpl_form,season_ppg,total_points
David Raya,154561,GK,David,Raya Martín,5.8,6.0,5.2,52
Gabriel Magalhães,226597,DEF,Gabriel,dos Santos Magalhães,6.6,10.5,8.0,80
William Saliba,462424,DEF,William,Saliba,6.0,4.8,4.2,38
Riccardo Calafiori,466075,DEF,Riccardo,Calafiori,5.8,6.0,6.0,60
Jurriën Timber,445122,DEF,Jurriën,Timber,6.1,7.2,6.6,66
Myles Lewis-Skelly,499169,DEF,Myles,Lewis-Skelly,5.2,0.8,0.9,6
Ben White,198869,DEF,Benjamin,White,5.3,0.0,6.0,6
Bukayo Saka,223340,MID,Bukayo,Saka,10.1,5.2,4.1,33
Martin Ødegaard,184029,MID,Martin,Ødegaard,7.8,0.2,2.2,13
Noni Madueke,248857,MID,Noni,Madueke,6.8,0.0,2.0,10
Gabriel Martinelli,444145,MID,Gabriel,Martinelli Silva,6.9,0.8,2.0,16
Leandro Trossard,116216,MID,Leandro,Trossard,6.9,5.5,3.9,31
Declan Rice,204480,MID,Declan,Rice,6.8,8.5,6.3,63
Mikel Merino,195384,MID,Mikel,Merino Zazón,5.9,1.0,2.0,18
Christian Nørgaard,128295,MID,Christian,Nørgaard,5.2,0.5,1.0,2
Ethan Nwaneri,499175,MID,Ethan,Nwaneri,5.2,0.5,1.4,7
Martín Zubimendi,481655,MID,Martín,Zubimendi Ibáñez,5.5,3.5,4.3,43
Kai Havertz,219847,FWD,Kai,Havertz,7.3,0.0,1.0,1
Eberechi Eze,232413,MID,Eberechi,Eze,7.6,5.8,4.3,39
Cristhian Mosquera,500040,DEF,Cristhian,Mosquera,5.4,0.2,2.2,13
Viktor Gyökeres,224117,FWD,Viktor,Gyökeres,9.0,3.2,3.7,37
Max Dowman,616077,MID,Max,Dowman,4.3,0.0,2.5,5
Piero Hincapié,448104,DEF,Piero,Hincapié,5.4,0.5,1.0,2
Emiliano Martínez,98980,GK,Emiliano,Martínez Romero,5.0,3.0,3.2,26
Marco Bizot,72147,GK,Marco,Bizot,4.3,0.0,3.5,7
Matty Cash,199796,DEF,Matty,Cash,4.6,4.8,4.6,46
Lucas Digne,101188,DEF,Lucas,Digne,4.5,3.2,3.3,33
Ezri Konsa,199798,DEF,Ezri,Konsa Ngoyo,4.4,3.2,3.0,27
Ian Maatsen,441302,DEF,Ian,Maatsen,4.3,1.0,0.9,6
Tyrone Mings,149484,DEF,Tyrone,Mings,4.4,0.2,3.4,24
Pau Torres,244954,DEF,Pau,Torres,4.3,3.8,2.7,19
Lamare Bogarde,515597,DEF,Lamare,Bogarde,4.0,0.5,2.5,15
Morgan Rogers,244850,MID,Morgan,Rogers,6.8,4.0,3.3,33
Youri Tielemans,166989,MID,Youri,Tielemans,5.9,0.0,2.0,8
Emi Buendía,195546,MID,Emiliano,Buendía Stati,5.3,2.8,3.5,28
Donyell Malen,204646,MID,Donyell,Malen,5.1,4.8,2.6,26
John McGinn,122806,MID,John,McGinn,5.4,2.2,2.7,27
Ross Barkley,88894,MID,Ross,Barkley,4.8,1.0,1.0,4
Boubacar Kamara,226944,MID,Boubacar,Kamara,4.9,2.8,2.6,21
Amadou Onana,449871,MID,Amadou,Onana,4.8,2.2,2.5,15
Ollie Watkins,178301,FWD,Ollie,Watkins,8.5,1.8,2.5,25
Harvey Elliott,444884,MID,Harvey,Elliott,5.4,0.0,1.0,4
Jadon Sancho,209243,MID,Jadon,Sancho,5.8,0.5,1.0,3
Evann Guessand,485337,MID,Evann,Guessand,6.3,1.2,1.4,13
Bradley Paul Burrowes,645618,MID,Bradley,Burrowes,4.5,0.0,1.0,1
Victor Lindelöf,184667,DEF,Victor,Lindelöf,4.5,0.2,1.0,3
Kyle Walker,58621,DEF,Kyle,Walker,4.4,4.8,2.9,29
Hjalmar Ekdal,478969,DEF,Hjalmar,Ekdal,4.0,0.2,2.9,20
Maxime Estève,477717,DEF,Maxime,Estève,4.0,2.8,2.5,25
Quilindschy Hartman,494960,DEF,Quilindschy,Hartman,4.0,4.5,3.5,35
Oliver Sonne,519895,DEF,Oliver,Sonne,3.9,0.0,1.0,3
Axel Tuanzebe,180804,DEF,Axel,Tuanzebe,3.9,3.2,3.2,13
Joe Worrall,208912,DEF,Joe,Worrall,3.9,0.2,1.0,4
Jaidon Anthony,444180,MID,Jaidon,Anthony,5.7,1.8,4.7,47
Jacob Bruun Larsen,179458,MID,Jacob,Bruun Larsen,5.3,1.2,1.9,15
Josh Cullen,172567,MID,Josh,Cullen,5.0,3.0,4.3,43
Marcus Edwards,174592,MID,Marcus,Edwards,4.7,0.2,1.0,2
Hannibal Mejbri,465527,MID,Hannibal,Mejbri,4.9,1.2,1.9,17
Josh Laurent,167887,MID,Josh,Laurent,4.9,1.5,1.5,15
Loum Tchaouna,469272,MID,Loum,Tchaouna,4.9,2.0,2.2,20
Zian Flemming,431639,FWD,Zian,Flemming,5.3,4.2,2.9,20
Lyle Foster,435973,FWD,Lyle,Foster,5.0,2.0,3.5,28
Ashley Barnes,44699,FWD,Ashley,Barnes,4.3,0.2,1.0,1
Martin Dúbravka,67089,GK,Martin,Dúbravka,4.0,3.8,3.3,33
Lesley Ugochukwu,503714,MID,Lesley,Ugochukwu,5.0,5.2,3.0,27
Armando Broja,440323,FWD,Armando,Broja,5.3,0.5,1.0,4
Florentino Luís,216055,MID,Florentino Ibrain,Morris Luís,5.0,4.0,3.4,24
Đorđe Petrović,457569,GK,Đorđe,Petrović,4.5,4.0,3.9,39
Marcos Senesi,221466,DEF,Marcos,Senesi Barón,5.0,3.3,5.6,56
Adam Smith,54469,DEF,Adam,Smith,4.4,0.0,2.7,8
Adrien Truffert,494521,DEF,Adrien,Truffert,4.5,4.3,4.5,45
James Hill,463981,DEF,James,Hill,4.0,0.3,2.4,17
Julio Soler,575901,DEF,Julio,Soler Barreto,4.0,0.0,1.0,1
Justin Kluivert,222683,MID,Justin,Kluivert,7.0,1.3,1.8,16
Antoine Semenyo,437730,MID,Antoine,Semenyo,8.1,3.0,7.5,75
Marcus Tavernier,201658,MID,Marcus,Tavernier,5.5,6.0,4.5,45
Tyler Adams,200785,MID,Tyler,Adams,5.0,5.7,3.5,35
David Brooks,111317,MID,David,Brooks,5.0,0.7,2.2,20
Ryan Christie,158499,MID,Ryan,Christie,5.0,2.3,1.9,15
Lewis Cook,155408,MID,Lewis,Cook,4.9,1.0,1.0,4
Alex Scott,503139,MID,Alex,Scott,5.0,3.3,3.4,34
Hamed Junior Traorè,424044,MID,Hamed,Traorè,4.5,0.0,4.0,4
Ben Winterburn,606775,MID,Ben,Winterburn,4.5,0.0,1.0,1
Evanilson,444102,FWD,Francisco Evanilson,de Lima Barbosa,7.0,0.3,2.9,23
Enes Ünal,168636,FWD,Enes,Ünal,5.4,0.3,1.0,1
Eli Junior Kroupi,560262,FWD,Eli Junior,Kroupi,4.6,6.7,4.1,29
Ben Gannon-Doak,496208,MID,Ben,Gannon-Doak,4.9,0.7,1.8,7
Bafodé Diakité,242882,DEF,Bafodé,Diakité,4.5,1.3,3.8,30
Amine Adli,489888,MID,Amine,Adli,5.4,0.7,1.0,7
Álex Jiménez,551483,DEF,Álex,Jiménez Sánchez,4.5,2.7,1.3,9
Veljko Milosavljević,620487,DEF,Veljko,Milosavljevic,4.5,2.0,3.7,11
Reiss Nelson,200641,MID,Reiss,Nelson,4.8,0.2,1.0,1
Dango Ouattara,533463,MID,Dango,Ouattara,6.0,4.0,3.9,35
Caoimhín Kelleher,200720,GK,Caoimhín,Kelleher,4.5,3.0,3.0,30
