player_code,fbref_name,fpl_name
154561,David Raya,David Raya Martín
226597,Gabriel Magalhães,Gabriel dos Santos Magalhães
462424,William Saliba,William Saliba
466075,Riccardo Calafiori,Riccardo Calafiori
445122,Jurriën Timber,Jurriën Timber
499169,Myles Lewis-Skelly,Myles Lewis-Skelly
198869,Ben White,Benjamin White
223340,Bukayo Saka,Bukayo Saka
184029,Martin Ødegaard,Martin Ødegaard
248857,Noni Madueke,Noni Madueke
444145,Gabriel Martinelli,Gabriel Martinelli Silva
116216,Leandro Trossard,Leandro Trossard
204480,Declan Rice,Declan Rice
195384,Mikel Merino,Mikel Merino Zazón
128295,Christian Nørgaard,Christian Nørgaard
499175,Ethan Nwaneri,Ethan Nwaneri
481655,Martín Zubimendi,Martín Zubimendi Ibáñez
219847,Kai Havertz,Kai Havertz
232413,Eberechi Eze,Eberechi Eze
500040,Cristhian Mosquera,Cristhian Mosquera
224117,Viktor Gyökeres,Viktor Gyökeres
616077,Max Dowman,Max Dowman
448104,Piero Hincapié,Piero Hincapié
98980,Emiliano Martínez,Emiliano Martínez Romero
72147,Marco Bizot,Marco Bizot
199796,Matty Cash,Matty Cash
101188,Lucas Digne,Lucas Digne
199798,Ezri Konsa,Ezri Konsa Ngoyo
441302,Ian Maatsen,Ian Maatsen
149484,Tyrone Mings,Tyrone Mings
244954,Pau Torres,Pau Torres
515597,Lamare Bogarde,Lamare Bogarde
244850,Morgan Rogers,Morgan Rogers
166989,Youri Tielemans,Youri Tielemans
195546,Emi Buendía,Emiliano Buendía Stati
204646,Donyell Malen,Donyell Malen
122806,John McGinn,John McGinn
88894,Ross Barkley,Ross Barkley
226944,Boubacar Kamara,Boubacar Kamara
449871,Amadou Onana,Amadou Onana
178301,Ollie Watkins,Ollie Watkins
444884,Harvey Elliott,Harvey Elliott
209243,Jadon Sancho,Jadon Sancho
485337,Evann Guessand,Evann Guessand
645618,Bradley Paul Burrowes,Bradley Burrowes
184667,Victor Lindelöf,Victor Lindelöf
58621,Kyle Walker,Kyle Walker
478969,Hjalmar Ekdal,Hjalmar Ekdal
477717,Maxime Estève,Maxime Estève
494960,Quilindschy Hartman,Quilindschy Hartman
519895,Oliver Sonne,Oliver Sonne
180804,Axel Tuanzebe,Axel Tuanzebe
208912,Joe Worrall,Joe Worrall
444180,Jaidon Anthony,Jaidon Anthony
179458,Jacob Bruun Larsen,Jacob Bruun Larsen
172567,Josh Cullen,Josh Cullen
174592,Marcus Edwards,Marcus Edwards
465527,Hannibal Mejbri,Hannibal Mejbri
167887,Josh Laurent,Josh Laurent
469272,Loum Tchaouna,Loum Tchaouna
431639,Zian Flemming,Zian Flemming
435973,Lyle Foster,Lyle Foster
44699,Ashley Barnes,Ashley Barnes
67089,Martin Dúbravka,Martin Dúbravka
503714,Lesley Ugochukwu,Lesley Ugochukwu
440323,Armando Broja,Armando Broja
216055,Florentino Luís,Florentino Ibrain Morris Luís
457569,Đorđe Petrović,Đorđe Petrović
221466,Marcos Senesi,Marcos Senesi Barón
54469,Adam Smith,Adam Smith
494521,Adrien Truffert,Adrien Truffert
463981,James Hill,James Hill
575901,Julio Soler,Julio Soler Barreto
222683,Justin Kluivert,Justin Kluivert
437730,Antoine Semenyo,Antoine Semenyo
201658,Marcus Tavernier,Marcus Tavernier
200785,Tyler Adams,Tyler Adams
111317,David Brooks,David Brooks
158499,Ryan Christie,Ryan Christie
155408,Lewis Cook,Lewis Cook
503139,Alex Scott,Alex Scott
424044,Hamed Junior Traorè,Hamed Traorè
606775,Ben Winterburn,Ben Winterburn
444102,Evanilson,Francisco Evanilson de Lima Barbosa
168636,Enes Ünal,Enes Ünal
560262,Eli Junior Kroupi,Eli Junior Kroupi
496208,Ben Gannon-Doak,Ben Gannon-Doak
242882,Bafodé Diakité,Bafodé Diakité
489888,Amine Adli,Amine Adli
551483,Álex Jiménez,Álex Jiménez Sánchez
620487,Veljko Milosavljević,Veljko Milosavljevic
200641,Reiss Nelson,Reiss Nelson
533463,Dango Ouattara,Dango Ouattara
200720,Caoimhín Kelleher,Caoimhín Kelleher
432830,Nathan Collins,Nathan Collins
249231,Keane Lewis-Potter,Keane Lewis-Potter
191866,Kristoffer Ajer,Kristoffer Ajer
194010,Rico Henry,Rico Henry
607464,Michael Kayode,Michael Kayode
444765,Sepp van den Berg,Sepp van den Berg
472713,Aaron Hickey,Aaron Hickey
513418,Kevin Schade,Kevin Schade
440089,Mikkel Damsgaard,Mikkel Damsgaard
543295,Antoni Milambo,Antoni Milambo
244858,Fabio Carvalho,Fábio Freitas Gouveia Carvalho
56979,Jordan Henderson,Jordan Henderson
204580,Vitaly Janelt,Vitaly Janelt
207283,Mathias Jensen,Mathias Jensen
428580,Frank Onyeka,Frank Onyeka
508395,Yehor Yarmoliuk,Yehor Yarmoliuk
502500,Thiago,Igor Thiago Nascimento Rodrigues
489639,Bart Verbruggen,Bart Verbruggen
550090,Diego Coppola,Diego Coppola
465730,Maxim De Cuyper,Maxim De Cuyper
83299,Lewis Dunk,Lewis Dunk
231416,Ferdi Kadioglu,Ferdi Kadıoğlu
469142,Jan Paul van Hecke,Jan Paul van Hecke
111478,Joël Veltman,Joël Veltman
451340,Kaoru Mitoma,Mitoma Kaoru
463067,Georginio Rutter,Georginio Rutter
592031,Yankuba Minteh,Yankuba Minteh
513433,Brajan Gruda,Brajan Gruda
532529,Jack Hinshelwood,Jack Hinshelwood
219249,Matt O'Riley,Matt O'Riley
509416,Yasin Ayari,Yasin Ayari
535301,Carlos Baleba,Carlos Baleba
514254,Diego Gómez,Diego Gómez Amarilla
15157,James Milner,James Milner
549074,Tom Watson,Tom Watson
467779,Mats Wieffer,Mats Wieffer
567121,Joe Knight,Joe Knight
50175,Danny Welbeck,Danny Welbeck
608181,Stefanos Tzimas,Stefanos Tzimas
647850,Charalampos Kostoulas,Charalampos Kostoulas
556637,Nehemiah Oriola,Nehemiah Oriola
536916,Facundo Buonanotte,Facundo Buonanotte
215059,Robert Sánchez,Robert Lynch Sánchez
508479,Filip Jørgensen,Filip Jörgensen
179268,Marc Cucurella,Marc Cucurella Saseta
225796,Reece James,Reece James
180736,Trevoh Chalobah,Trevoh Chalobah
482609,Malo Gusto,Malo Gusto
444463,Wesley Fofana,Wesley Fofana
109646,Tosin Adarabioyo,Tosin Adarabioyo
577016,Joshua Acheampong,Josh Acheampong
244851,Cole Palmer,Cole Palmer
247632,Pedro Neto,Pedro Lomba Neto
448047,Enzo Fernández,Enzo Fernández
624773,Estêvão Willian,Estêvão Almeida de Oliveira Gonçalves
463936,Jamie Gittens,Jamie Bynoe-Gittens
486672,Moisés Caicedo,Moisés Caicedo Corozo
550615,Tyrique George,Tyrique George
514356,Roméo Lavia,Roméo Lavia
532605,Andrey Santos,Andrey Nascimento dos Santos
475168,João Pedro,João Pedro Junqueira de Jesus
463034,Liam Delap,Liam Delap
499309,Marc Guiu,Marc Guiu Paz
493105,Alejandro Garnacho,Alejandro Garnacho Ferreyra
551210,Jorrel Hato,Jorrel Hato
172649,Dean Henderson,Dean Henderson
247348,Daniel Muñoz,Daniel Muñoz Mejía
437499,Maxence Lacroix,Maxence Lacroix
244723,Tyrick Mitchell,Tyrick Mitchell
218364,Borna Sosa,Borna Sosa
209036,Marc Guéhi,Marc Guéhi
427623,Chris Richards,Chris Richards
57328,Nathaniel Clyne,Nathaniel Clyne
232185,Ismaila Sarr,Ismaïla Sarr
606921,Romain Esse,Romain Esse
108413,Will Hughes,Will Hughes
209400,Daichi Kamada,Daichi Kamada
152551,Jefferson Lerma,Jefferson Lerma Solís
496221,Adam Wharton,Adam Wharton
489706,Justin Devenny,Justin Devenny
231747,Jean-Philippe Mateta,Jean-Philippe Mateta
205533,Eddie Nketiah,Eddie Nketiah
199670,Odsonne Édouard,Odsonne Édouard
488024,Yeremi Pino,Yéremy Pino Santos
651426,Jaydee Canvot,Jaydee Canvot
660392,Christantus Uche,Christantus Uche
215413,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall
111234,Jordan Pickford,Jordan Pickford
17761,James Tarkowski,James Tarkowski
224967,Vitaliy Mykolenko,Vitalii Mykolenko
512462,Jake O'Brien,Jake O'Brien
59949,Séamus Coleman,Séamus Coleman
106611,Michael Keane,Michael Keane
440993,Iliman Ndiaye,Iliman Ndiaye
433154,Dwight McNeil,Dwight McNeil
502697,Carlos Alcaraz,Carlos Alcaraz Durán
80801,Idrissa Gana Gueye,Idrissa Gana Gueye
232928,James Garner,James Garner
490094,Tim Iroegbunam,Tim Iroegbunam
609873,Harrison Armstrong,Harrison Armstrong
586309,Thierno Barry,Thierno Barry
486385,Beto,Norberto Bercique Gomes Betuncal
114283,Jack Grealish,Jack Grealish
496661,Tyler Dibling,Tyler Dibling
513466,Merlin Röhl,Merlin Röhl
80201,Bernd Leno,Bernd Leno
169528,Antonee Robinson,Antonee Robinson
174874,Joachim Andersen,Joachim Andersen
232892,Calvin Bassey,Calvin Bassey
166477,Timothy Castagne,Timothy Castagne
219924,Issa Diop,Issa Diop
246301,Jorge Cuenca,Jorge Cuenca Barreno
167074,Kenny Tete,Kenny Tete
153133,Alex Iwobi,Alex Iwobi
209289,Emile Smith Rowe,Emile Smith Rowe
159533,Adama Traoré,Adama Traoré Diarra
184349,Ryan Sessegnon,Ryan Sessegnon
153682,Harry Wilson,Harry Wilson
207189,Sander Berge,Sander Berge
76357,Tom Cairney,Tom Cairney
212314,Saša Lukić,Saša Lukić
577725,Joshua King,Josh King
102057,Raúl Jiménez,Raúl Jiménez Rodríguez
244042,Rodrigo Muniz,Rodrigo Muniz Carvalho
218328,Samuel Chukwueze,Samuel Chukwueze
560552,Kevin,Kevin Santos Lopes de Macedo
631786,Jonah Kusi-Asare,Jonah Kusi-Asare
59735,Karl Darlow,Karl Darlow
226182,Jayden Bogle,Jayden Bogle
222694,Pascal Struijk,Pascal Struijk
434752,Jaka Bijol,Jaka Bijol
113564,Sam Byram,Sam Byram
243526,Gabriel Gudmundsson,Gabriel Gudmundsson
214225,Joe Rodon,Joe Rodon
427637,Brenden Aaronson,Brenden Aaronson
492859,Wilfried Gnonto,Wilfried Gnonto
221399,Jack Harrison,Jack Harrison
200617,Daniel James,Daniel James
